AccNum	GenContext.orig	arch.PFAM	DomArch.orig	arch.TMSIG	Length	GenName	Lineage	Species.orig	Annotation	GI	ClustName	ClustID	Query
ADV61954.1	<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	800	Isop_1369	bacteria>planctomycetes	Isosphaera pallida ATCC 43644	type III secretion FHIPEP protein [Isosphaera pallida ATCC 43644]	319750194	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
AKP46881.1	CheC->REC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->REC->HPT+HISKIN+CheW->CheW->CheC->CheD->	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	762	BSM4216_1600	bacteria>firmicutes	Bacillus smithii	Flagellar biosynthesis protein FlhA [Bacillus smithii]	873409241	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
BAM04443.1	<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	756	flhA	bacteria>planctomycetes	Phycisphaera mikurensis NBRC 102666	flagellar biosynthesis protein FlhA [Phycisphaera mikurensis NBRC 102666]	381387627	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
ABD81427.1	<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	755	Sde_2167	bacteria>proteobacteria>gammaproteobacteria	Saccharophagus degradans 2-40	flagellar biosynthesis protein FlhA [Saccharophagus degradans 2-40]	89951412	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
AMV40330.1	<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM	SIG+TM+TM+TM+TM	755	flhA	bacteria>planctomycetes	Planctomyces sp. SH-PL62	Flagellar biosynthesis protein FlhA [Planctomyces sp. SH-PL62]	1015458548	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
APW62124.1	SIG+TM+TM+TM+TM+TM*->SIG+APATPase->	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	752	flhA	bacteria>planctomycetes	Paludisphaera borealis	Flagellar biosynthesis protein FlhA [Paludisphaera borealis]	1133584833	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
ABI89783.1	<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM+TM	749	Bamb_4230	bacteria>proteobacteria>betaproteobacteria	Burkholderia ambifaria AMMD	type III secretion FHIPEP protein [Burkholderia ambifaria AMMD]	115284267	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
CAE10152.1	<-SIG+TarH+TM+HAMP+MA||?-><-FormylT<-?<-?<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	749	FLBA	bacteria>proteobacteria>epsilonproteobacteria	Wolinella succinogenes	FLAGELLAR BIOSYNTHESIS/REGULATION PROTEIN FLBA [Wolinella succinogenes]	34483153	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
CAP55588.1	<-SIG+TM+TM+TM+TM+TM*	FHIPEP	TM+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM+TM	749	flhA	bacteria>proteobacteria>alphaproteobacteria	Gluconacetobacter diazotrophicus PA1 5	putative flagellar biosynthesis protein flhA [Gluconacetobacter diazotrophicus PA1 5]	161786006	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
ABO58292.1	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	FHIPEP	TM+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM+TM	748	Bcep1808_5344	bacteria>proteobacteria>betaproteobacteria	Burkholderia vietnamiensis G4	type III secretion FHIPEP protein [Burkholderia vietnamiensis G4]	134137178	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
APO50818.1	<-SIG+TM+TM+TM+TM+TM*	FHIPEP	TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	747	flhA	bacteria>proteobacteria>alphaproteobacteria	Bradyrhizobium diazoefficiens	flagellar biosynthesis protein FlhA [Bradyrhizobium diazoefficiens]	1120700213	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
BAC47472.1	<-SIG+TM+TM+TM+TM+TM*	FHIPEP	TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	747	flhA	bacteria>proteobacteria>alphaproteobacteria	Bradyrhizobium diazoefficiens USDA 110	flagellar biosynthesis protein [Bradyrhizobium diazoefficiens USDA 110]	27350461	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
ADP98069.1	<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM+DEAM	SIG+TM+TM+TM+TM+TM+TM	746	HP15_2305	bacteria>proteobacteria>gammaproteobacteria	Marinobacter adhaerens HP15	flagellar biosynthesis protein A [Marinobacter adhaerens HP15]	311695196	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
ABE64097.1	SIG+TM+TM+TM+TM+TM*->	FHIPEP	TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	745	Nham_3367	bacteria>proteobacteria>alphaproteobacteria	Nitrobacter hamburgensis X14	flagellar biosynthesis protein FlhA [Nitrobacter hamburgensis X14]	91801722	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
AQQ59107.1	<-SIG+TM+TM+TM+TM+TM*	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	745	flhA	bacteria>proteobacteria>epsilonproteobacteria	Helicobacter bilis	flagellar biosynthesis protein FlhA [Helicobacter bilis]	1147511774	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
ABJ08189.1	SIG+TM+TM+TM+TM+TM*->	FHIPEP	TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	744	RPE_4264	bacteria>proteobacteria>alphaproteobacteria	Rhodopseudomonas palustris BisA53	flagellar biosynthesis protein FlhA [Rhodopseudomonas palustris BisA53]	115520205	 SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM
