AccNum	GenContext.orig	arch.PFAM	DomArch.orig	arch.TMSIG	Length	GenName	Lineage	Species.orig	Annotation	GI	ClustName	ClustID	Query
ALN16120.1	<-DUF3046*	DUF3046	-	-	64	ASQ49_13580	bacteria>actinobacteria	Acidipropionibacterium acidipropionici	GCA_001441165.1	hypothetical protein ASQ49_13580 [Acidipropionibacterium acidipropionici]	 DUF3046	000001.410	PspN
AMS04683.1	<-DUF3046*	DUF3046	-	-	64	AXH35_03460	bacteria>actinobacteria	Acidipropionibacterium acidipropionici	GCA_001602115.1	hypothetical protein AXH35_03460 [Acidipropionibacterium acidipropionici]	 DUF3046	000001.410	PspN
AOZ46173.1	<-DUF3046*	DUF3046	-	-	64	A8L58_04925	bacteria>actinobacteria	Acidipropionibacterium acidipropionici	GCA_001855335.1	hypothetical protein A8L58_04925 [Acidipropionibacterium acidipropionici]	 DUF3046	000001.410	PspN
APZ08131.1	DUF3046*->	DUF3046	-	-	64	BWX38_01300	bacteria>actinobacteria	Acidipropionibacterium acidipropionici	GCA_001975205.1	hypothetical protein BWX38_01300 [Acidipropionibacterium acidipropionici]	 DUF3046	000001.410	PspN
AFV89337.1	DUF3046*->	DUF3046	-	-	64	PACID_15240	bacteria>actinobacteria	Acidipropionibacterium acidipropionici ATCC 4875	GCA_000310065.1	hypothetical protein PACID_15240 [Acidipropionibacterium acidipropionici ATCC 4875]	 DUF3046	000001.410	PspN
ABK53265.1	<-DUF3046*	DUF3046	-	-	64	Acel_1493	bacteria>actinobacteria	Acidothermus cellulolyticus 11B	GCA_000015025.1	hypothetical protein Acel_1493 [Acidothermus cellulolyticus 11B]	 DUF3046	000001.410	PspN
AOS65088.1	DUF3046*->	DUF3046	-	-	64	TL08_21505	bacteria>actinobacteria	Actinoalloteichus hymeniacidonis	GCA_001747425.1	putative DUF3046 family protein [Actinoalloteichus hymeniacidonis]	 DUF3046	000001.410	PspN
APU16938.1	DUF3046*->	DUF3046	-	-	64	UA74_24620	bacteria>actinobacteria	Actinoalloteichus sp. ADI127-7	GCA_001941625.1	putative DUF3046 family protein [Actinoalloteichus sp. ADI127-7]	 DUF3046	000001.410	PspN
APU23018.1	DUF3046*->	DUF3046	-	-	64	UA75_25200	bacteria>actinobacteria	Actinoalloteichus sp. GBA129-24	GCA_001941645.1	putative DUF3046 family protein [Actinoalloteichus sp. GBA129-24]	 DUF3046	000001.410	PspN
AMD98075.1	<-DUF3046*	DUF3046	-	-	72	AXE84_00375	bacteria>actinobacteria	Actinomyces oris	GCA_001553935.1	hypothetical protein AXE84_00375 [Actinomyces oris]	 DUF3046	000001.410	PspN
AMD88283.1	<-DUF3046*	DUF3046	-	-	74	AXF14_12750	bacteria>actinobacteria	Actinomyces radicidentis	GCA_001553565.1	hypothetical protein AXF14_12750 [Actinomyces radicidentis]	 DUF3046	000001.410	PspN
AOZ72869.1	<-DUF3046*	DUF3046	-	-	75	BK816_05810	bacteria>actinobacteria	Actinomyces sp. VUL4_3	GCA_001856685.1	hypothetical protein BK816_05810 [Actinomyces sp. VUL4_3]	 DUF3046	000001.410	PspN
ALC98911.1	DUF3046*->	DUF3046	-	-	77	AM609_04350	bacteria>actinobacteria	Actinomyces sp. oral taxon 414	GCA_001278845.1	hypothetical protein AM609_04350 [Actinomyces sp. oral taxon 414]	 DUF3046	000001.410	PspN
AGZ45388.1	<-DUF3046*	DUF3046	-	-	66	AFR_35660	bacteria>actinobacteria	Actinoplanes friuliensis DSM 7358	GCA_000494755.1	hypothetical protein AFR_35660 [Actinoplanes friuliensis DSM 7358]	 DUF3046	000001.410	PspN
AGL20270.1	<-DUF3046*	DUF3046	-	EAD1	64	L083_6760	bacteria>actinobacteria	Actinoplanes sp. N902-109	GCA_000389965.1	hypothetical protein L083_6760 [Actinoplanes sp. N902-109]	 DUF3046	000001.410	PspN
AEV88053.1	<-DUF3046*	DUF3046	-	-	66	ACPL_7173	bacteria>actinobacteria	Actinoplanes sp. SE50/110	GCA_000237145.1	hypothetical protein ACPL_7173 [Actinoplanes sp. SE50/110]	 DUF3046	000001.410	PspN
ACU35370.1	DUF3046*->	DUF3046	NACHT	-	64	Amir_1418	bacteria>actinobacteria	Actinosynnema mirum DSM 43827	GCA_000023245.1	hypothetical protein Amir_1418 [Actinosynnema mirum DSM 43827]	 DUF3046	000001.410	PspN
AIE82051.1	DUF3046*->	DUF3046	-	-	78	FB03_00795	bacteria>actinobacteria	Actinotignum schaalii	GCA_000724605.1	hypothetical protein FB03_00795 [Actinotignum schaalii]	 DUF3046	000001.410	PspN
ALX04600.1	DUF3046*->	DUF3046	-	-	64	AERYTH_07780	bacteria>actinobacteria	Aeromicrobium erythreum	GCA_001509405.1	hypothetical protein AERYTH_07780 [Aeromicrobium erythreum]	 DUF3046	000001.410	PspN
ANJ27434.1	<-DUF3046*	DUF3046	-	-	76	ATC03_12665	bacteria>actinobacteria	Agromyces aureus	GCA_001660485.1	signal transduction histidine kinase [Agromyces aureus]	 DUF3046	000001.410	PspN
CRK55743.1	DUF3046*->	DUF3046	SIG	SIG	64	recA	bacteria>actinobacteria	Alloactinosynnema sp. L-07	GCA_900070365.1	hypothetical protein [Alloactinosynnema sp. L-07]	 DUF3046	000001.410	PspN
AIG78287.1	<-DUF3046*	DUF3046	-	-	87	AJAP_27205	bacteria>actinobacteria	Amycolatopsis japonica	GCA_000732925.1	Hypothetical protein AJAP_27205 [Amycolatopsis japonica]	 DUF3046	000001.410	PspN
AGM04916.1	DUF3046*->	DUF3046	SIG	SIG	64	AORI_2328	bacteria>actinobacteria	Amycolatopsis keratiniphila	GCA_000400635.2	hypothetical protein AORI_2328 [Amycolatopsis keratiniphila]	 DUF3046	000001.410	PspN
AJK55029.1	<-DUF3046*	DUF3046	SIG	SIG	64	BB31_17350	bacteria>actinobacteria	Amycolatopsis lurida NRRL 2430	GCA_000749465.2	hypothetical protein BB31_17350 [Amycolatopsis lurida NRRL 2430]	 DUF3046	000001.410	PspN
AGT82981.1	DUF3046*->	DUF3046	-	-	64	B737_2317	bacteria>actinobacteria	Amycolatopsis mediterranei RB	GCA_000454025.1	hypothetical protein B737_2317 [Amycolatopsis mediterranei RB]	 DUF3046	000001.410	PspN
AEK40873.1	DUF3046*->	DUF3046	-	-	64	RAM_11915	bacteria>actinobacteria	Amycolatopsis mediterranei S699	GCA_000220945.1	hypothetical protein RAM_11915 [Amycolatopsis mediterranei S699]	 DUF3046	000001.410	PspN
AFO75852.1	DUF3046*->	DUF3046	-	-	64	AMES_2316	bacteria>actinobacteria	Amycolatopsis mediterranei S699	GCA_000282715.1	hypothetical protein AMES_2316 [Amycolatopsis mediterranei S699]	 DUF3046	000001.410	PspN
