AccNum	GenContext	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Lineage	Species	Annotation	GI	Lineage.final	Lineage.final.old	Domain	DomArch.norep	GenContext.norep	DA.doms	GC.DA
ABC83427.1	<-PspC*	PspC	ZNR+PspC	-	110	Adeh_3661	bacteria>proteobacteria>deltaproteobacteria	Anaeromyxobacter dehalogenans 2CPC	phage shock protein C, PspC [Anaeromyxobacter dehalogenans 2CP-C]	85776590	bacteria>proteobacteria>deltaproteobacteria	bacteria>proteobacteria>deltaproteobacteria	bacteria	ZNR+PspC	<-PspC*	ZNR PspC	 PspC*
ADW68960.1	<-RnaseT2<-Cluster186_3clades||?->?->?-><-PspC*<-?<-?||?-><-?<-?||SIG+SET->	zinc_ribbon_2+PspC	ZNR+PspC	-	109	AciX9_1914	bacteria>acidobacteria	Granulicella tundricola MP5ACTX9	phage shock protein C, PspC [Granulicella tundricola MP5ACTX9]	321163255	bacteria>acidobacteria	bacteria>acidobacteria	bacteria	ZNR+PspC	<-RnaseT2<-Cluster186_3clades||?->?->?-><-PspC*<-?<-?||?-><-?<-?||SIG+SET->	ZNR PspC	 RnaseT2 Cluster186_3clades ? ? ? PspC* ? ? ? ? ? SIG+SET 
ABS27969.1	PspC*->	PspC	ZNR+PspC	-	108	Anae109_3790	bacteria>proteobacteria>deltaproteobacteria	Anaeromyxobacter sp Fw1095	phage shock protein C, PspC [Anaeromyxobacter sp. Fw109-5]	152030201	bacteria>proteobacteria>deltaproteobacteria	bacteria>proteobacteria>deltaproteobacteria	bacteria	ZNR+PspC	PspC*->	ZNR PspC	PspC* 
ABF40326.1	PspC*->	zf-ribbon_3+PspC	ZNR+PspC	-	107	Acid345_1324	bacteria>acidobacteria	Candidatus Koribacter versatilis Ellin345	phage shock protein C, PspC [Candidatus Koribacter versatilis Ellin345]	94550402	bacteria>acidobacteria	bacteria>acidobacteria	bacteria	ZNR+PspC	PspC*->	ZNR PspC	PspC* 
ABJ85299.1	PspC*->	zinc_ribbon_2+PspC	ZNR+PspC	-	107	Acid_4337	bacteria>acidobacteria	Candidatus Solibacter usitatus Ellin6076	phage shock protein C, PspC [Candidatus Solibacter usitatus Ellin6076]	116226590	bacteria>acidobacteria	bacteria>acidobacteria	bacteria	ZNR+PspC	PspC*->	ZNR PspC	PspC* 
ADV82333.1	PspC*->Cluster186_3clades->?->RnaseT2->	zinc_ribbon_2+PspC	ZNR+PspC	-	106	AciPR4_1511	bacteria>acidobacteria	Terriglobus saanensis SP1PR4	phage shock protein C, PspC [Terriglobus saanensis SP1PR4]	319925258	bacteria>acidobacteria	bacteria>acidobacteria	bacteria	ZNR+PspC	PspC*->Cluster186_3clades->?->RnaseT2->	ZNR PspC	PspC* Cluster186_3clades ? RnaseT2 
AEU37489.1	<-Cluster186_3clades<-PspC*	PspC	ZNR+PspC	-	106	AciX8_3188	bacteria>acidobacteria	Granulicella mallensis MP5ACTX8	phage shock protein C, PspC [Granulicella mallensis MP5ACTX8]	358754099	bacteria>acidobacteria	bacteria>acidobacteria	bacteria	ZNR+PspC	<-Cluster186_3clades<-PspC*	ZNR PspC	 Cluster186_3clades PspC*
AAK06002.1	<-PspC*<-PspC*<-Toast-rack	PspC	PspC	-	154	ythA	bacteria>firmicutes	Lactococcus lactis subsp lactis Il1403	hypothetical protein L157237 [Lactococcus lactis subsp. lactis Il1403]	12724940	bacteria>firmicutes	bacteria>firmicutes	bacteria	PspC	<-PspC*<-PspC*<-Toast-rack	PspC	 PspC* PspC* Toast-rack
ADJ61132.1	<-PspC*<-PspC*<-Toast-rack	PspC	PspC	-	154	LLNZ_11155	bacteria>firmicutes	Lactococcus lactis subsp cremoris NZ9000	hypothetical protein LLNZ_11155 [Lactococcus lactis subsp. cremoris NZ9000]	300071732	bacteria>firmicutes	bacteria>firmicutes	bacteria	PspC	<-PspC*<-PspC*<-Toast-rack	PspC	 PspC* PspC* Toast-rack
AEU41370.1	<-PspC*	PspC	PspC	-	154	llh_10970	bacteria>firmicutes	Lactococcus lactis subsp cremoris A76	hypothetical protein llh_10970 [Lactococcus lactis subsp. cremoris A76]	358750391	bacteria>firmicutes	bacteria>firmicutes	bacteria	PspC	<-PspC*	PspC	 PspC*
