AccNum	GenContext	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Lineage	Species	Annotation	GI	Lineage.final	Lineage.final.old	Domain	DomArch.norep	GenContext.norep	DA.doms	GC.DA
AGH48359.1	PspA->PspB*->PspC->TM+PspB*->TM+PspB*->PspB*->	PspB	PspB	SIG	103	G432_03160	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas sp MM1	phage shock B family protein [Sphingomonas sp. MM-1]	469478134	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->TM+PspB*->TM+PspB*->PspB*->	PspB	PspA PspB* PspC TM+PspB* TM+PspB* PspB* 
ANK11762.1	PspA->PspB*->PspC->PspB*->TM+PspB*->PspB*->	PspB	PspB	SIG	103	A9D12_01035	bacteria>proteobacteria>alphaproteobacteria	Porphyrobacter neustonensis	phage shock protein B [Porphyrobacter neustonensis]	1036420130	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->PspB*->TM+PspB*->PspB*->	PspB	PspA PspB* PspC PspB* TM+PspB* PspB* 
AMK19504.1	Cluster36_2clades->?-><-?<-?<-?<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->	PspB	PspB	SIG	101	K663_15630	bacteria>proteobacteria>alphaproteobacteria	Sphingobium sp MI1205	phage shock protein B [Sphingobium sp. MI1205]	998162334	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	Cluster36_2clades->?-><-?<-?<-?<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->	PspB	Cluster36_2clades ? ? ? ? PspC PspB* PspA NtrC-AAA+FIS-HTH 
AOL95524.1	PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->PspB*->	PspB	PspB	SIG	101	BG023_112614	bacteria>proteobacteria>alphaproteobacteria	Porphyrobacter sp LM 6	phage shock protein B [Porphyrobacter sp. LM 6]	1062413933	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->PspB*->	PspB	PspA PspB* PspC PspB* TM+PspB* TM+PspB* PspB* 
APE26930.1	<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	101	BMF35_a0101	bacteria>proteobacteria>alphaproteobacteria	Erythrobacter gangjinensis	hypothetical protein BMF35_a0101 [Erythrobacter gangjinensis]	1108535278	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->PspB*->PspB*->	PspB	 NtrC-AAA+FIS-HTH ? PspA PspB* PspC PspB* TM+PspB* TM+PspB* PspB* PspB* 
ALE16982.1	PspA->PspB*->PspC->PspB*->PspB*->	PspB	PspB	SIG	99	AMC99_01691	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter epoxidivorans	hypothetical protein AMC99_01691 [Altererythrobacter epoxidivorans]	927349971	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->PspB*->PspB*->	PspB	PspA PspB* PspC PspB* PspB* 
ABD25602.1	<-ABC-ATPase||?-><-?<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	98	Saro_1157	bacteria>proteobacteria>alphaproteobacteria	Novosphingobium aromaticivorans DSM 12444	hypothetical protein Saro_1157 [Novosphingobium aromaticivorans DSM 12444]	87134860	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	<-ABC-ATPase||?-><-?<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->TM+PspB*->PspB*->PspB*->	PspB	 ABC-ATPase ? ? NtrC-AAA+FIS-HTH ? PspA PspB* PspC PspB* TM+PspB* PspB* PspB* 
AKM07642.1	PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->	PspB	PspB	SIG	98	AM2010_1573	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter marensis	hypothetical protein AM2010_1573 [Altererythrobacter marensis]	831205805	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->	PspB	PspA PspB* PspC PspB* TM+PspB* TM+PspB* 
AKM08851.1	PspA->PspB*->PspC->PspB*->PspB*->	PspB	PspB	SIG	98	AB433_00830	bacteria>proteobacteria>alphaproteobacteria	Croceicoccus naphthovorans	hypothetical protein AB433_00830 [Croceicoccus naphthovorans]	831207015	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->PspB*->PspB*->	PspB	PspA PspB* PspC PspB* PspB* 
AKQ42560.1	<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->TM+PspB*->TM*->PspB*->PspB*->	PspB	PspB	SIG	98	CP97_11735	bacteria>proteobacteria>alphaproteobacteria	Erythrobacter atlanticus	hypothetical protein CP97_11735 [Erythrobacter atlanticus]	885011056	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->TM+PspB*->TM*->PspB*->PspB*->	PspB	 NtrC-AAA+FIS-HTH ? PspA PspB* PspC PspB* TM+PspB* TM* PspB* PspB* 
