GenContext.norep	Lineage.final	count
CheC->REC->SIG+TM->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->REC->HPT+HISKIN+CheW->CheW->CheC->CheD->	bacteria>firmicutes	72
<-REC<-HPT+HISKIN+CheW<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*	bacteria>proteobacteria>gammaproteobacteria	70
<-SIG+TM<-SIG+TM(s)*<-TM(s)	bacteria>proteobacteria>gammaproteobacteria	64
SIG+TM*->?->LiaI-LiaF-TM+Toast-rack*->?->REC->	bacteria>firmicutes	51
TM(s)->SIG+TM(s)*->SIG+TM->	bacteria>proteobacteria>gammaproteobacteria	45
TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	bacteria>proteobacteria>betaproteobacteria	44
SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->REC->SFII-RAD3->HPT+HISKIN+CheW->REC->	bacteria>proteobacteria>gammaproteobacteria	43
<-CheD<-CheC<-CheW<-HPT+HISKIN+CheW<-REC<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-REC<-CheC	bacteria>firmicutes	41
SIG+TM(s)*->SIG+TM(s)->	bacteria>proteobacteria>alphaproteobacteria	41
CheC->CheC->SIG+TM->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->REC->SFII-RAD3->HPT+HISKIN+CheW->REC->	bacteria>proteobacteria>gammaproteobacteria	36
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->	bacteria>fcb group	35
CheC->CheC->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->	bacteria>proteobacteria>gammaproteobacteria	32
SIG+TM(s)*->	bacteria>proteobacteria>alphaproteobacteria	32
<-REC<-?<-LiaI-LiaF-TM+Toast-rack*<-?<-?<-LiaI-LiaF-TM*	bacteria>firmicutes	30
<-SIG+TM(s)*	bacteria>proteobacteria>epsilonproteobacteria	30
SIG+BetaPropeller->?->?->?->?->IONCHANNEL->SIG+TM->SIG+TM(s)*->SIG+TM(s)->	bacteria>proteobacteria>alphaproteobacteria	28
<-DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*<-PADR-HTH	bacteria>fcb group	27
<-SIG+TM(s)*	bacteria>proteobacteria>alphaproteobacteria	27
<-SIG+TM(s)*<-TM(s)	bacteria>pvc group	26
<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-CheC<-CheC	bacteria>proteobacteria>gammaproteobacteria	26
SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	bacteria>proteobacteria>gammaproteobacteria	26
TM(s)->SIG+TM(s)*->	bacteria>proteobacteria>gammaproteobacteria	26
<-REC<-?<-LiaI-LiaF-TM+Toast-rack*<-?<-SIG+TM*	bacteria>firmicutes	24
<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)	bacteria>proteobacteria>betaproteobacteria	24
<-Cluster108_2clades<-?<-?<-FilH<-?<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-CheC<-CheC	bacteria>spirochaetes	23
<-TPR<-?<-?<-?<-SIG+TM(s)*<-TPR<-?<-CR-REase10<-?<-CR-ATPase7	bacteria>proteobacteria>gammaproteobacteria	22
<-SIG+TM(s)*<-TM(s)	bacteria>proteobacteria>gammaproteobacteria	21
<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	bacteria>proteobacteria>betaproteobacteria	21
<-SIG+TM<-SIG+TM(s)<-Cluster24_2clades<-Cluster39_2clades<-SIG+TM(s)*<-TM(s)	bacteria>proteobacteria>betaproteobacteria	21
LiaI-LiaF-TM+Toast-rack*->?->REC->	bacteria>firmicutes	21
<-SIG+TM(s)<-SIG+TM(s)*	bacteria>proteobacteria>alphaproteobacteria	19
<-CheC<-CheW<-HPT+HISKIN+CheW<-REC<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-REC<-CheC	bacteria>firmicutes	18
<-REC<-HPT+HISKIN+CheW<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-CheC<-CheC	bacteria>proteobacteria>gammaproteobacteria	18
<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*	bacteria>proteobacteria>gammaproteobacteria	17
<-SIG+TM(s)*<-TM(s)	bacteria>proteobacteria>betaproteobacteria	15
<-SIG+TM(s)<-SIG+TM(s)*<-SIG+TM<-IONCHANNEL<-?<-?<-?<-?<-SIG+BetaPropeller	bacteria>proteobacteria>alphaproteobacteria	15
TM(s)->SIG+TM(s)*->	bacteria>proteobacteria>betaproteobacteria	15
<-PspC<-?<-LiaI-LiaF-TM*	bacteria>firmicutes	14
<-SIG+TM<-SIG+TM(s)<-Cluster63_2clades<-?<-TET-TPase<-NACHT<-FHA<-SIG+TM(s)*<-CR-ATPase7	bacteria>proteobacteria>gammaproteobacteria	14
CR-ATPase7->SIG+TM(s)*->FHA->NACHT->TET-TPase->?->Cluster63_2clades->SIG+TM(s)->SIG+TM->	bacteria>proteobacteria>gammaproteobacteria	14
NACHT->?->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)-><-?<-SIG+TM(s)*	bacteria>proteobacteria>alphaproteobacteria	13
TM(s)->SIG+TM(s)*->Cluster39_2clades->Cluster24_2clades->SIG+TM(s)->SIG+TM->?->FHA->	bacteria>proteobacteria>gammaproteobacteria	13
<-SIG+TM(s)*||TM+OmpA->	bacteria>proteobacteria>gammaproteobacteria	12
<-SIG+TM<-SIG+TM(s)<-Cluster24_2clades<-?<-Cluster59_2clades<-NACHT<-Cluster49_2clades<-SIG+TM(s)*<-PYRIN<-Cluster27_3clades<-AraC-HTH	bacteria>proteobacteria>gammaproteobacteria	12
AraC-HTH->Cluster27_3clades->PYRIN->SIG+TM(s)*->Cluster49_2clades->NACHT->Cluster59_2clades->?->Cluster24_2clades->SIG+TM(s)->SIG+TM->	bacteria>proteobacteria>gammaproteobacteria	12
SIG+TM(s)*->SIG+TM->Cluster27_3clades->?->?->?->SIG+TM->	bacteria>proteobacteria>betaproteobacteria	12
<-DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*<-PADR-HTH	bacteria>fcb group	11
<-FHA<-?<-SIG+TM<-SIG+TM(s)<-Cluster24_2clades<-Cluster39_2clades<-SIG+TM(s)*<-TM(s)	bacteria>proteobacteria>gammaproteobacteria	11
SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->SIG+BetaPropeller->CheRN-Alpha+CheR-Methylase->?->SIG+TM(s)->TM+OmpA->	bacteria>firmicutes	11
SIG+TM(s)*->SIG+TM(s)->TM(s)->?-><-?<-TM<-SIG+SAF<-SIG+BetaPropeller	bacteria>proteobacteria>alphaproteobacteria	11
TM(s)->SIG+TM(s)*->	bacteria>pvc group	11
TM(s)->SIG+TM(s)*->SIG+APATPase->?->SIGMA-HTH->	bacteria>proteobacteria>betaproteobacteria	11
<-LiaI-LiaF-TM+Toast-rack*	bacteria>firmicutes	10
<-SIG+TM(s)*<-TPR<-?<-CR-REase10<-CR-ATPase7	bacteria>proteobacteria>betaproteobacteria	10
<-SIGMA-HTH<-SIG+TM(s)*	bacteria>proteobacteria>alphaproteobacteria	10
CR-ATPase7->?->CR-REase10->?->TPR->SIG+TM(s)*->?->?->?->TPR->	bacteria>proteobacteria>gammaproteobacteria	10
SIG+TM(s)*->SIGMA-HTH->	bacteria>proteobacteria>alphaproteobacteria	10
<-PspC(s)+LiaI-LiaF-TM+Toast-rack(s)*<-PADR-HTH	bacteria>fcb group	9
<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-CheC<-CheC	bacteria>proteobacteria>betaproteobacteria	9
CheC->CheC->?->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->SIG+BetaPropeller->	bacteria>firmicutes	9
LiaI-LiaF-TM+Toast-rack*->	bacteria>firmicutes	9
LiaI-LiaF-TM+Toast-rack*->REC->	bacteria>fcb group	9
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*->	bacteria>other unclassified bacteria	9
TM(s)->SIG+TM(s)*->Cluster39_2clades->Cluster24_2clades->SIG+TM(s)->SIG+TM->?->FHA->	bacteria>proteobacteria>betaproteobacteria	9
TM(s)->SIG+TM(s)*->SIG+APATPase-><-DICT<-Cluster40_2clades<-SIG+SAF	bacteria>proteobacteria>betaproteobacteria	9
<-SIG+BetaPropeller<-?<-?<-SIGMA-HTH<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-TM<-TM+OmpA<-SIG+TM(s)	bacteria>firmicutes	8
<-SIG+TM<-SIG+TM(s)<-Cluster24_2clades<-?<-?<-NACHT<-Cluster49_2clades<-SIG+TM(s)*<-PYRIN<-Cluster27_3clades<-AraC-HTH	bacteria>proteobacteria>betaproteobacteria	8
CheC->REC->SIG+TM->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->PilZ->REC->HPT+HISKIN+CheW->CheW->CheC->	bacteria>firmicutes	8
SIG+TM(s)*->	bacteria>proteobacteria>gammaproteobacteria	8
SIG+TM(s)*->SIG+TM(s)->TM(s)->	bacteria>proteobacteria>alphaproteobacteria	8
TM(s)->SIG+TM(s)*->SIG+APATPase->	bacteria>proteobacteria>betaproteobacteria	8
<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)	bacteria>proteobacteria>deltaproteobacteria	7
<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-CheC<-CheC	bacteria>actinobacteria	7
<-SIG+TM(s)<-CheC<-Cluster63_2clades<-?<-TET-TPase<-NACHT<-FHA<-SIG+TM(s)*<-CR-ATPase7	bacteria>proteobacteria>gammaproteobacteria	7
AraC-HTH->Cluster27_3clades->PYRIN->SIG+TM(s)*->Cluster49_2clades->NACHT->?->?->Cluster24_2clades->SIG+TM(s)->SIG+TM->	bacteria>proteobacteria>betaproteobacteria	7
CheC->CheC->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->	bacteria>proteobacteria>betaproteobacteria	7
CheC->REC->SIG+TM->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->PilZ->HPT+HISKIN+CheW->CheW->CheC->CheD->	bacteria>firmicutes	7
ISOCOT->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->PilZ->CheC->CheD->SIGMA-HTH->	bacteria>thermotogae	7
LiaI-LiaF-TM*->?->?->LiaI-LiaF-TM+Toast-rack*->?->REC->	bacteria>firmicutes	7
SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	bacteria>proteobacteria>betaproteobacteria	7
TM(s)->SIG+TM(s)*->Cluster39_2clades->Cluster24_2clades->SIG+TM(s)->SIG+TM->	bacteria>proteobacteria>betaproteobacteria	7
TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->SIG+TM(s)->TM+OmpA-><-DICT<-Cluster40_2clades	bacteria>proteobacteria>betaproteobacteria	7
TM(s)->SIG+TM(s)*->SIG+TM-><-DICT<-Cluster40_2clades<-SIG+SAF	bacteria>proteobacteria>gammaproteobacteria	7
<-?*	bacteria>other unclassified bacteria	6
<-CheD<-CheC<-CheW<-HPT+HISKIN+CheW<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-REC<-CheC	bacteria>firmicutes	6
<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	bacteria>proteobacteria>betaproteobacteria	6
<-FHA<-?<-SIG+TM<-SIG+TM(s)<-Cluster24_2clades<-Cluster39_2clades<-SIG+TM(s)*<-TM(s)	bacteria>proteobacteria>betaproteobacteria	6
<-REC<-?<-?<-?<-PspC<-?<-LiaI-LiaF-TM*	bacteria>firmicutes	6
<-REC<-?<-LiaI-LiaF-TM+Toast-rack*	bacteria>firmicutes	6
<-SIG+BetaPropeller<-?<-?<-SIGMA-HTH<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-TM<-?<-SIG+BetaPropeller	bacteria>firmicutes	6
<-SIG+TM(s)*	bacteria>proteobacteria>deltaproteobacteria	6
<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-CheC<-CheC	bacteria>proteobacteria>deltaproteobacteria	6
CheC->CheC->SIG+TM->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	bacteria>proteobacteria>gammaproteobacteria	6
CheRN-Alpha+CheR-Methylase->REC->REC->SFII-RAD3->TM(s)->SIG+TM(s)*->SIG+TM->	bacteria>proteobacteria>gammaproteobacteria	6
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*->	bacteria>fcb group	6
PADR-HTH->PspC+LiaI-LiaF-TM+Toast-rack*->	bacteria>other unclassified bacteria	6
SIG+SAF->Cluster40_2clades->DICT-><-SIG+TM<-SIG+TM(s)*<-TM(s)	bacteria>proteobacteria>gammaproteobacteria	6
TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->SIG+TM->	bacteria>proteobacteria>betaproteobacteria	6
TM(s)->SIG+TM(s)*->SIG+TM-><-DICT<-Cluster40_2clades	bacteria>proteobacteria>gammaproteobacteria	6
?*->	bacteria>firmicutes	5
?*->	bacteria>other unclassified bacteria	5
<-?*	bacteria>firmicutes	5
<-Cluster103_2clades<-Cluster179_2clades<-TET-TPase<-NACHT<-SIG+TM(s)*<-Cluster57_2clades	bacteria>proteobacteria>gammaproteobacteria	5
<-Cluster288_2clades<-?<-?<-PspC+LiaI-LiaF-TM+Toast-rack*<-PADR-HTH	bacteria>other unclassified bacteria	5
<-LiaI-LiaF-TM+Toast-rack*	bacteria>other unclassified bacteria	5
<-SIG+BetaPropeller<-?<-?<-SIGMA-HTH<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-TM	bacteria>firmicutes	5
<-SIG+BetaPropeller<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-?<-CheC<-CheC	bacteria>firmicutes	5
<-SIG+TM(s)*	bacteria>proteobacteria>gammaproteobacteria	5
<-SIG+TM(s)*<-TM(s)<-SIG+MHYT+TM(s)+GGDEF+EAL	bacteria>proteobacteria>gammaproteobacteria	5
<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM	bacteria>proteobacteria>gammaproteobacteria	5
<-SIG+TM(s)<-SIG+TM(s)*<-?<-SIG+TM<-IONCHANNEL	bacteria>proteobacteria>alphaproteobacteria	5
<-SIGMA-HTH<-?<-CheD<-CheC<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-REC<-CheC	bacteria>firmicutes	5
<-SIGMA-HTH<-?<-SIG+APATPase<-SIG+TM(s)*<-TM(s)	bacteria>proteobacteria>betaproteobacteria	5
<-SIGMA-HTH<-CheD<-CheC<-CheW<-HPT+HISKIN+CheW<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-REC<-CheC	bacteria>firmicutes	5
<-SIGMA-HTH<-CheD<-CheW<-HPT+HISKIN+CheW<-REC<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-REC<-CheC	bacteria>firmicutes	5
<-TM+OmpA||SIG+TM(s)*->	bacteria>proteobacteria>gammaproteobacteria	5
<-TM+OmpA<-SIG+TM(s)<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-CheC<-CheC	bacteria>proteobacteria>gammaproteobacteria	5
<-TM<-SIG+SAF<-SIG+BetaPropeller<-SIG+BetaPropeller<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*	bacteria>proteobacteria>deltaproteobacteria	5
ABC-ATPase->?->tRNA-><-?||?->?->?->?->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->?-><-Cluster302_2clades<-ClpABN-AAA+SLATT+ClpABC-AAA	bacteria>aquificae	5
AraC-HTH->Cluster27_3clades->PYRIN->SIG+TM(s)*->Cluster49_2clades->NACHT->?->?->Cluster24_2clades->SIG+TM(s)->SIG+TM->	bacteria>proteobacteria>gammaproteobacteria	5
CheC->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->	bacteria>proteobacteria>gammaproteobacteria	5
LiaI-LiaF-TM*->?->PspC->	bacteria>firmicutes	5
PADR-HTH->PspC+LiaI-LiaF-TM+Toast-rack*->	bacteria>fcb group	5
SIG+BetaPropeller->?->?->?->?->IONCHANNEL->SIG+TM->SIG+TM(s)*->SIG+TM(s)->?->?->?->?-><-REC	bacteria>proteobacteria>alphaproteobacteria	5
SIG+MHYT+TM(s)+GGDEF+EAL->TM(s)->SIG+TM(s)*->	bacteria>proteobacteria>gammaproteobacteria	5
SIG+TM->?->?->?->Cluster57_2clades->SIG+TM(s)*->NACHT->TET-TPase->?->?->SIG+TM(s)->SIG+TM->SIG+TM(s)->	bacteria>proteobacteria>gammaproteobacteria	5
SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->REC->TM->	bacteria>proteobacteria>deltaproteobacteria	5
SIG+TM(s)*->	bacteria>proteobacteria>betaproteobacteria	5
SIG+TM(s)*->	bacteria>proteobacteria>deltaproteobacteria	5
SIG+TM(s)*->	bacteria>proteobacteria>epsilonproteobacteria	5
SIG+TM(s)+AMIN*->SIGMA-HTH->	bacteria>pvc group	5
TM->CheC->SIG+TM->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->PilZ->SIGMA-HTH->?->?->SIG+BetaPropeller->	bacteria>firmicutes	5
TM(s)->SIG+TM(s)*->Cluster39_2clades->	bacteria>proteobacteria>betaproteobacteria	5
?*->	bacteria>actinobacteria	4
<-CheD<-SIG+BetaPropeller<-SIG+BetaPropeller<-SIGMA-HTH<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-CheC<-TM	bacteria>firmicutes	4
<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-SIG+NtrC-AAA+FIS-HTH<-SIG+TM(s)<-CheC<-?<-SIG+TM	bacteria>proteobacteria>alphaproteobacteria	4
<-PspC+LiaI-LiaF-TM+Toast-rack*<-PADR-HTH	bacteria>fcb group	4
<-REC<-?<-SIG+TM(s)+Toast-rack*<-?<-SIG+TM*	bacteria>firmicutes	4
<-REC<-LiaI-LiaF-TM+Toast-rack*	bacteria>fcb group	4
<-REC<-SIG+TM(s)<-?<-LiaI-LiaF-TM+Toast-rack*	bacteria>fcb group	4
<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-?<-?<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM	bacteria>proteobacteria>gammaproteobacteria	4
<-SIG+TM(s)*	bacteria>other proteobacteria	4
<-SIG+TM(s)*<-SIG+NtrC-AAA+FIS-HTH<-CheC<-?<-CheC<-SIG+TM	bacteria>proteobacteria>alphaproteobacteria	4
<-SIG+TM(s)<-SIG+TM(s)*||?-><-SIG+TM<-IONCHANNEL	bacteria>proteobacteria>alphaproteobacteria	4
<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-?<-?<-TET-TPase<-NACHT<-SIG+TM(s)*	bacteria>proteobacteria>gammaproteobacteria	4
<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-?<-?<-TET-TPase<-NACHT<-SIG+TM(s)*<-Cluster57_2clades<-?<-?<-?<-SIG+TM	bacteria>proteobacteria>gammaproteobacteria	4
<-SIG+TM<-SIG+TM(s)*<-TM(s)<-SFII-RAD3<-REC<-REC<-CheRN-Alpha+CheR-Methylase	bacteria>proteobacteria>gammaproteobacteria	4
<-SIGMA-HTH<-?<-CheD<-CheC<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*	bacteria>firmicutes	4
<-SIGMA-HTH<-?<-SIG+TM(s)*	bacteria>proteobacteria>alphaproteobacteria	4
<-SIGMA-HTH<-CheD<-CheC<-PilZ<-?<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*	bacteria>thermotogae	4
<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*	bacteria>proteobacteria>betaproteobacteria	4
<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-CheC<-CheC	bacteria>proteobacteria>gammaproteobacteria	4
<-SIGMA-HTH<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-TM	bacteria>firmicutes	4
<-TM<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)	bacteria>proteobacteria>deltaproteobacteria	4
CheC->CheC->SIG+TM->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->	bacteria>actinobacteria	4
CheC->CheC->SIG+TM->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->?->SIGMA-HTH->FilH->	bacteria>spirochaetes	4
CheC->CheC->SIG+TM->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	bacteria>firmicutes	4
CheC->CheC->SIG+TM->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	bacteria>proteobacteria>deltaproteobacteria	4
CheC->SIG+TM->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->	bacteria>other unclassified bacteria	4
Cluster120_5clades-><-?<-?<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+TM(s)*	bacteria>proteobacteria>alphaproteobacteria	4
Cluster57_2clades->SIG+TM(s)*->NACHT->?->?->?->SIG+TM(s)->SIG+TM->SIG+TM(s)->	bacteria>proteobacteria>gammaproteobacteria	4
Cluster57_2clades->SIG+TM(s)*->NACHT->TET-TPase->?->Cluster103_2clades->	bacteria>proteobacteria>betaproteobacteria	4
FHA+TM->?->TPR->SIG+TM(s)*->SIG+TPR->	bacteria>proteobacteria>alphaproteobacteria	4
IONCHANNEL->SIG+TM->SIG+TM(s)*->SIG+TM(s)->	bacteria>proteobacteria>alphaproteobacteria	4
LiaI-LiaF-TM+Toast-rack*->	bacteria>fcb group	4
LiaI-LiaF-TM+Toast-rack*->SIG+TM(s)->REC->	bacteria>fcb group	4
PADR-HTH->PspC(s)+LiaI-LiaF-TM+Toast-rack(s)*->	bacteria>fcb group	4
PADR-HTH->PspC(s)+LiaI-LiaF-TM+Toast-rack*->	bacteria>fcb group	4
PspC+LiaI-LiaF-TM*->	bacteria>other unclassified bacteria	4
REC-><-SIGMA-HTH<-?<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)<-SIG+TM<-SIG+TM(s)<-SIG+TM<-CheC	bacteria>other unclassified bacteria	4
REC->Cluster57_2clades->SIG+TM(s)*->NACHT->TET-TPase->?->Cluster103_2clades->SIG+TM(s)->SIG+TM->SIG+TM(s)->	bacteria>proteobacteria>betaproteobacteria	4
SIG+BetaPropeller->SIG+SAF->TM->?-><-?<-TM(s)<-SIG+TM(s)<-SIG+TM(s)*	bacteria>proteobacteria>alphaproteobacteria	4
SIG+TarH+TM+HAMP+MA->?->CheRN-Alpha+CheR-Methylase->REC->REC->SFII-RAD3->TM(s)->SIG+TM(s)*->SIG+TM->	bacteria>proteobacteria>gammaproteobacteria	4
SIG+TarH+TM+HAMP+MA->SIG+TarH+TM+HAMP+MA->CheRN-Alpha+CheR-Methylase->REC->REC->SFII-RAD3->TM(s)->SIG+TM(s)*->SIG+TM->	bacteria>proteobacteria>gammaproteobacteria	4
