AccNum	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Species	Lineage	Annotation	GI
# 641;	Rv2738c-like-DUF3046
ADC86130.1	SIG+DUF3046	SIG	DUF3046	114	BIF_02265	Bifidobacterium animalis subsp. lactis BB-12	bacteria>actinobacteria	Hypothetical cytosolic protein [Bifidobacterium animalis subsp. lactis BB-12]	289178884
AEK30566.1	SIG+DUF3046	SIG	DUF3046	114	BALAC2494_00132	Bifidobacterium animalis subsp. lactis CNCM I-2494	bacteria>actinobacteria	Hypothetical cytosolic protein [Bifidobacterium animalis subsp. lactis CNCM I-2494]	340365275
ADD43834.1	DUF3046	-	DUF3046	102	Snas_4184	Stackebrandtia nassauensis DSM 44728	bacteria>actinobacteria	hypothetical protein Snas_4184 [Stackebrandtia nassauensis DSM 44728]	290570869
ABE95860.1	SIG+DUF3046	SIG	DUF3046	100	Bbr_1182	Bifidobacterium breve UCC2003	bacteria>actinobacteria	Conserved hypothetical protein [Bifidobacterium breve UCC2003]	339479392
AHJ25001.1	SIG+DUF3046	SIG	DUF3046	100	BS27_1204	Bifidobacterium breve S27	bacteria>actinobacteria	Hypothetical protein BS27_1204 [Bifidobacterium breve S27]	585136533
ACJ52047.1	SIG+DUF3046	SIG	DUF3046	99	Blon_0948	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	bacteria>actinobacteria	hypothetical protein Blon_0948 [Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088]	213523300
AHJ17645.1	SIG+DUF3046	SIG	DUF3046	99	B7017_1153	Bifidobacterium breve JCM 7017	bacteria>actinobacteria	Hypothetical protein B7017_1153 [Bifidobacterium breve JCM 7017]	585128855
ACZ30272.1	SIG+DUF3046	SIG	DUF3046	93	Xcel_1241	Xylanimonas cellulosilytica DSM 15894	bacteria>actinobacteria	hypothetical protein Xcel_1241 [Xylanimonas cellulosilytica DSM 15894]	269304722
ABY22468.1	DUF3046	-	DUF3046	92	RSal33209_0721	Renibacterium salmoninarum ATCC 33209	bacteria>actinobacteria	hypothetical cytosolic protein [Renibacterium salmoninarum ATCC 33209]	162952953
ACV08696.1	DUF3046	SIG	DUF3046	88	Jden_1040	Jonesia denitrificans DSM 20603	bacteria>actinobacteria	hypothetical protein Jden_1040 [Jonesia denitrificans DSM 20603]	256685803
ADI67740.1	DUF3046	-	DUF3046	88	HMPREF0573_11421	Mobiluncus curtisii ATCC 43063	bacteria>actinobacteria	hypothetical protein HMPREF0573_11421 [Mobiluncus curtisii ATCC 43063]	298236608
AIG78287.1	DUF3046	-	DUF3046	87	AJAP_27205	Amycolatopsis japonica	bacteria>actinobacteria	Hypothetical protein AJAP_27205 [Amycolatopsis japonica]	667683671
BAI65286.1	DUF3046	-	DUF3046	85	RMDY18_14540	Rothia mucilaginosa DY-18	bacteria>actinobacteria	signal transduction histidine kinase [Rothia mucilaginosa DY-18]	283134521
APH01819.1	DUF3046	-	DUF3046	84	ASJ30_10025	Janibacter terrae	bacteria>actinobacteria	histidine kinase [Janibacter terrae]	1110983356 
ACS46471.1	DUF3046	-	DUF3046	83	Balac_1115	Bifidobacterium animalis subsp. lactis Bl-04	bacteria>actinobacteria	hypothetical protein Balac_1115 [Bifidobacterium animalis subsp. lactis Bl-04]	240249531
ACS48038.1	DUF3046	-	DUF3046	83	Balat_1115	Bifidobacterium animalis subsp. lactis DSM 10140	bacteria>actinobacteria	hypothetical protein Balat_1115 [Bifidobacterium animalis subsp. lactis DSM 10140]	240251099
ADG33663.1	DUF3046	-	DUF3046	83	BalV_1075	Bifidobacterium animalis subsp. lactis V9	bacteria>actinobacteria	hypothetical protein BalV_1075 [Bifidobacterium animalis subsp. lactis V9]	295794128
AEN76845.1	DUF3046	-	DUF3046	83	BLC1_1071	Bifidobacterium animalis subsp. lactis BLC1	bacteria>actinobacteria	hypothetical protein BLC1_1071 [Bifidobacterium animalis subsp. lactis BLC1]	345282991
AFI63306.1	DUF3046	-	DUF3046	83	BANAN_05490	Bifidobacterium animalis subsp. animalis ATCC 25527	bacteria>actinobacteria	hypothetical protein BANAN_05490 [Bifidobacterium animalis subsp. animalis ATCC 25527]	385701358
AGO52555.1	DUF3046	-	DUF3046	83	Bl12_1037	Bifidobacterium animalis subsp. lactis Bl12	bacteria>actinobacteria	hypothetical protein Bl12_1037 [Bifidobacterium animalis subsp. lactis Bl12]	514423327
AJD88834.1	DUF3046	-	DUF3046	83	GU89_05655	Bifidobacterium animalis subsp. lactis	bacteria>actinobacteria	hypothetical protein GU89_05655 [Bifidobacterium animalis subsp. lactis]	747146555
ANU44269.1	DUF3046	-	DUF3046	83	A4U98_07265	Bifidobacterium animalis subsp. animalis	bacteria>actinobacteria	hypothetical protein A4U98_07265 [Bifidobacterium animalis subsp. animalis]	1045259404 
APT92364.1	DUF3046	-	DUF3046	83	CPHO_05040	Corynebacterium phocae	bacteria>actinobacteria	hypothetical protein CPHO_05040 [Corynebacterium phocae]	1129931776 
AAZ54840.1	DUF3046	Imm-Cloacin	DUF3046	82	Tfu_0802	Thermobifida fusca YX	bacteria>actinobacteria	hypothetical protein Tfu_0802 [Thermobifida fusca YX]	71914938
ADU48681.1	DUF3046	-	DUF3046	82	Intca_2172	Intrasporangium calvum DSM 43043	bacteria>actinobacteria	hypothetical protein Intca_2172 [Intrasporangium calvum DSM 43043]	315589384
AKK11301.1	DUF3046	-	DUF3046	82	CUTER_06560	Corynebacterium uterequi	bacteria>actinobacteria	putative DUF3046 family protein [Corynebacterium uterequi]	827636567
AAT89397.1	DUF3046	-	DUF3046	81	Lxx16040	Leifsonia xyli subsp. xyli str. CTCB07	bacteria>actinobacteria	conserved hypothetical protein [Leifsonia xyli subsp. xyli str. CTCB07]	50951696
APF41705.1	DUF3046	-	DUF3046	81	BHE16_03980	Neomicrococcus aestuarii	bacteria>actinobacteria	histidine kinase [Neomicrococcus aestuarii]	1109135093 
ACV06782.1	DUF3046	-	DUF3046	80	Ksed_17700	Kytococcus sedentarius DSM 20547	bacteria>actinobacteria	hypothetical protein Ksed_17700 [Kytococcus sedentarius DSM 20547]	256688980
ADG74440.1	DUF3046	-	DUF3046	80	Cfla_1542	Cellulomonas flavigena DSM 20109	bacteria>actinobacteria	conserved hypothetical protein [Cellulomonas flavigena DSM 20109]	296021204
