AccNum	Query	ClustID	ClustName	GenContext	PFAM	DomArch	arch.TMSIG	Length	GenName	Lineage	Species.old	Annotation	GI
ALG61354.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->	PspB	PspB	SIG	107	WG74_11320	bacteria>proteobacteria>alphaproteobacteria	Citromicrobium sp. JL477	hypothetical protein WG74_11320 [Citromicrobium sp. JL477]	932137937
AGH48359.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->TM+PspB*->TM+PspB*->PspB*->	PspB	PspB	SIG	103	G432_03160	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas sp. MM-1	phage shock B family protein [Sphingomonas sp. MM-1]	469478134
ANK11762.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->PspB*->TM+PspB*->PspB*->	PspB	PspB	SIG	103	A9D12_01035	bacteria>proteobacteria>alphaproteobacteria	Porphyrobacter neustonensis	phage shock protein B [Porphyrobacter neustonensis]	1036420130
AOL22919.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	103	Ga0102493_111898	bacteria>proteobacteria>alphaproteobacteria	Erythrobacter litoralis	phage shock protein B [Erythrobacter litoralis]	1062073127
AMO71697.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	102	AZE99_07415	bacteria>proteobacteria>alphaproteobacteria	Sphingorhabdus sp. M41	phage shock protein B [Sphingorhabdus sp. M41]	1004372634
AMK19504.1	pspb	000001.461	 PspB	Cluster36_2clades->?-><-?<-?<-?<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->	PspB	PspB	SIG	101	K663_15630	bacteria>proteobacteria>alphaproteobacteria	Sphingobium sp. MI1205	phage shock protein B [Sphingobium sp. MI1205]	998162334
AOL95524.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->PspB*->	PspB	PspB	SIG	101	BG023_112614	bacteria>proteobacteria>alphaproteobacteria	Porphyrobacter sp. LM 6	phage shock protein B [Porphyrobacter sp. LM 6]	1062413933
APE26930.1	pspb	000001.461	 PspB	<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	101	BMF35_a0101	bacteria>proteobacteria>alphaproteobacteria	Erythrobacter gangjinensis	hypothetical protein BMF35_a0101 [Erythrobacter gangjinensis]	1108535278
ANY19548.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	100	A6F68_01026	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter dongtanensis	phage shock protein B [Altererythrobacter dongtanensis]	1049199350
AOG00251.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	100	pspB	bacteria>proteobacteria>alphaproteobacteria	Blastomonas sp. RAC04	phage shock protein B [Blastomonas sp. RAC04]	1059507382
ALE16982.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->PspB*->PspB*->	PspB	PspB	SIG	99	AMC99_01691	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter epoxidivorans	hypothetical protein AMC99_01691 [Altererythrobacter epoxidivorans]	927349971
ABC62770.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	98	ELI_03390	bacteria>proteobacteria>alphaproteobacteria	Erythrobacter litoralis HTCC2594	hypothetical protein ELI_03390 [Erythrobacter litoralis HTCC2594]	84786588
ABD25602.1	pspb	000001.461	 PspB	<-ABC-ATPase||?-><-?<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	98	Saro_1157	bacteria>proteobacteria>alphaproteobacteria	Novosphingobium aromaticivorans DSM 12444	hypothetical protein Saro_1157 [Novosphingobium aromaticivorans DSM 12444]	87134860
AJR22954.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	98	TZ53_03415	bacteria>proteobacteria>alphaproteobacteria	Sphingobium sp. YBL2	phage-shock protein [Sphingobium sp. YBL2]	764452840
AKM07642.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->	PspB	PspB	SIG	98	AM2010_1573	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter marensis	hypothetical protein AM2010_1573 [Altererythrobacter marensis]	831205805
AKM08851.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->PspB*->PspB*->	PspB	PspB	SIG	98	AB433_00830	bacteria>proteobacteria>alphaproteobacteria	Croceicoccus naphthovorans	hypothetical protein AB433_00830 [Croceicoccus naphthovorans]	831207015
AKQ42560.1	pspb	000001.461	 PspB	<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->TM+PspB*->TM*->PspB*->PspB*->	PspB	PspB	SIG	98	CP97_11735	bacteria>proteobacteria>alphaproteobacteria	Erythrobacter atlanticus	hypothetical protein CP97_11735 [Erythrobacter atlanticus]	885011056
APG62666.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	98	LPB140_07545	bacteria>proteobacteria>alphaproteobacteria	Sphingopyxis sp. LPB0140	phage shock protein B [Sphingopyxis sp. LPB0140]	1110848346
AKH41088.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	97	WYH_00021	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter atlanticus	phage shock protein B [Altererythrobacter atlanticus]	821378263
ANU08486.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->PspB*->PspB*->	PspB	PspB	SIG	96	A6F65_02201	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter namhicola	phage shock protein B [Altererythrobacter namhicola]	1044955215
APX66686.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	96	AV944_13585	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas sp. LK11	phage shock protein B [Sphingomonas sp. LK11]	1134951512
AMK24976.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	93	K426_20235	bacteria>proteobacteria>alphaproteobacteria	Sphingobium sp. TKS	phage shock protein B [Sphingobium sp. TKS]	998167812
AJA10536.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	92	SKP52_18330	bacteria>proteobacteria>alphaproteobacteria	Sphingopyxis fribergensis	phage shock B [Sphingopyxis fribergensis]	734573320
APR53659.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->TM+PspB*->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	92	BRX40_15615	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas koreensis	phage shock protein B [Sphingomonas koreensis]	1125935401
ABF51932.1	pspb	000001.461	 PspB	<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->TM+PspB*->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	91	Sala_0208	bacteria>proteobacteria>alphaproteobacteria	Sphingopyxis alaskensis RB2256	phage shock B [Sphingopyxis alaskensis RB2256]	98975781
ALC13608.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	91	LH20_16740	bacteria>proteobacteria>alphaproteobacteria	Sphingopyxis sp. 113P3	phage-shock protein [Sphingopyxis sp. 113P3]	924527444
ALH81911.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	91	AN936_16565	bacteria>proteobacteria>alphaproteobacteria	Sphingopyxis macrogoltabida	phage shock protein B [Sphingopyxis macrogoltabida]	937291365
ALJ14973.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	91	LH19_19045	bacteria>proteobacteria>alphaproteobacteria	Sphingopyxis macrogoltabida	phage-shock protein [Sphingopyxis macrogoltabida]	938158612
AMG75928.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	91	pspB	bacteria>proteobacteria>alphaproteobacteria	Sphingopyxis granuli	Phage-shock protein [Sphingopyxis granuli]	991912718
AMU91222.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	91	ATM17_19600	bacteria>proteobacteria>alphaproteobacteria	Sphingopyxis macrogoltabida	phage shock protein B [Sphingopyxis macrogoltabida]	1015409920
AMU93576.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	91	AOA14_03015	bacteria>proteobacteria>alphaproteobacteria	Sphingopyxis terrae NBRC 15098	phage shock protein B [Sphingopyxis terrae NBRC 15098]	1015411783
ACV74802.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	90	Za10_0250	bacteria>proteobacteria>alphaproteobacteria	Zymomonas mobilis subsp. mobilis NCIMB 11163	phage shock protein B [Zymomonas mobilis subsp. mobilis NCIMB 11163]	258551856
AEH62105.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	90	Zmob_0253	bacteria>proteobacteria>alphaproteobacteria	Zymomonas mobilis subsp. mobilis ATCC 10988	phage shock protein B [Zymomonas mobilis subsp. mobilis ATCC 10988]	335931565
AHB09591.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	90	ZCP4_0262	bacteria>proteobacteria>alphaproteobacteria	Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023	phage shock protein B [Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023]	559149801
AHJ69896.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	90	A254_00261	bacteria>proteobacteria>alphaproteobacteria	Zymomonas mobilis subsp. mobilis NRRL B-12526	phage shock protein B [Zymomonas mobilis subsp. mobilis NRRL B-12526]	586608138
AHJ71751.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	90	A265_00261	bacteria>proteobacteria>alphaproteobacteria	Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023	phage shock protein B [Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023]	586616885
AIT06080.1	pspb	000001.461	 PspB	<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->TM+PspB*->Cluster16_1clades*->PspB*->	PspB	PspB	SIG	90	MC45_06365	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas taxi	phage-shock protein [Sphingomonas taxi]	695169990
APZ99373.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	90	BWQ93_13430	bacteria>proteobacteria>alphaproteobacteria	Sphingopyxis sp. QXT-31	phage shock protein B [Sphingopyxis sp. QXT-31]	1140114821
AQR72588.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	90	BXU08_01925	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas sp. LM7	phage shock protein B [Sphingomonas sp. LM7]	1148319484
ABQ69290.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	89	Swit_2938	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas wittichii RW1	phage shock B family protein [Sphingomonas wittichii RW1]	148501036
ALR19602.1	pspb	000001.461	 PspB	<-ELM2||?-><-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->?->?->?-><-?<-Cluster36_2clades	PspB	PspB	SIG	89	ATN00_04050	bacteria>proteobacteria>alphaproteobacteria	Sphingobium baderi	phage shock protein B [Sphingobium baderi]	959186879
AOH85475.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->TM+PspB*->?->PspB*->	PspB	PspB	SIG	89	AWL63_17565	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas panacis	phage shock protein B [Sphingomonas panacis]	1061227834
AEG49718.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	88	Sphch_2041	bacteria>proteobacteria>alphaproteobacteria	Sphingobium chlorophenolicum L-1	phage shock protein B [Sphingobium chlorophenolicum L-1]	334102294
AJP71963.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	88	TS85_09450	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas hengshuiensis	phage-shock protein [Sphingomonas hengshuiensis]	761897594
ANI77979.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->PspB*->?->?->?-><-?<-Cluster36_2clades	PspB	PspB	SIG	88	EP837_01563	bacteria>proteobacteria>alphaproteobacteria	Sphingobium sp. EP60837	hypothetical protein EP837_01563 [Sphingobium sp. EP60837]	1034621573
AOF98374.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	88	pspB	bacteria>proteobacteria>alphaproteobacteria	Sphingobium sp. RAC03	phage shock protein B [Sphingobium sp. RAC03]	1059505408
AOW25122.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	88	BJP26_17500	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas melonis TY	phage shock protein B [Sphingomonas melonis TY]	1078698944
APL95932.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->?*->PspB*->?->?->?-><-?<-Cluster36_2clades	PspB	PspB	SIG	88	SIDU_16240	bacteria>proteobacteria>alphaproteobacteria	Sphingobium indicum B90A	phage shock protein B [Sphingobium indicum B90A]	1114388770
BAI98245.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	88	pspB	bacteria>proteobacteria>alphaproteobacteria	Sphingobium japonicum UT26S	phage shock protein B [Sphingobium japonicum UT26S]	292676727
ABC32109.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->	PspB	PspB	SIG	87	pspB	bacteria>proteobacteria>gammaproteobacteria	Hahella chejuensis KCTC 2396	probable phage shock protein B [Hahella chejuensis KCTC 2396]	83636142
AQA19051.1	pspb	000001.461	 PspB	<-PspC<-PspB*<-PspA	PspB	PspB	SIG	87	BST95_13190	bacteria>proteobacteria>gammaproteobacteria	Halioglobus japonicus	phage shock protein B [Halioglobus japonicus]	1140134514
ACT60597.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->?->?*->?->?*->	PspB	PspB	SIG	86	Hbal_2928	bacteria>proteobacteria>alphaproteobacteria	Hirschia baltica ATCC 49814	phage shock protein B [Hirschia baltica ATCC 49814]	254043802
ABI76709.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->	PspB	PspB	SIG	85	pspB	bacteria>proteobacteria>alphaproteobacteria	Hyphomonas neptunium ATCC 15444	phage shock protein B [Hyphomonas neptunium ATCC 15444]	114738584
ACQ91716.1	pspb	000001.461	 PspB	-	PspB	PspB	SIG	85	Tola_0086	bacteria>proteobacteria>gammaproteobacteria	Tolumonas auensis DSM 9187	phage shock protein B [Tolumonas auensis DSM 9187]	237499123
ANG63821.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->	PspB	PspB	SIG	85	A8C75_15955	bacteria>proteobacteria>gammaproteobacteria	Marinobacterium sp. ST58-10	phage shock protein B [Marinobacterium sp. ST58-10]	1032357257
ADZ89642.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->	PspB	PspB	SIG	83	Marme_0339	bacteria>proteobacteria>gammaproteobacteria	Marinomonas mediterranea MMB-1	phage shock protein B [Marinomonas mediterranea MMB-1]	326544422
ABC22018.1	pspb	000001.461	 PspB	<-PspB*<-PspA	PspB	PspB	SIG	82	Rru_A1217	bacteria>proteobacteria>alphaproteobacteria	Rhodospirillum rubrum ATCC 11170	Phage shock B [Rhodospirillum rubrum ATCC 11170]	83575467
ABR69345.1	pspb	000001.461	 PspB	PspA->PspB*->PspC->	PspB	PspB	SIG	82	Mmwyl1_0407	bacteria>proteobacteria>gammaproteobacteria	Marinomonas sp. MWYL1	phage shock B family protein [Marinomonas sp. MWYL1]	150835369
ADN76787.1	pspb	000001.461	 PspB	<-NtrC-AAA+FIS-HTH<-?<-ELM2<-?<-?<-?<-PspC<-PspB*<-PspA	PspB	PspB	SIG	82	Fbal_2585	bacteria>proteobacteria>gammaproteobacteria	Ferrimonas balearica DSM 9799	phage shock protein B [Ferrimonas balearica DSM 9799]	307632485
AEO47730.1	pspb	000001.461	 PspB	<-PspB*<-PspA	PspB	PspB	SIG	82	F11_06300	bacteria>proteobacteria>alphaproteobacteria	Rhodospirillum rubrum F11	phage shock protein B [Rhodospirillum rubrum F11]	346717715
AJD53802.1	pspb	000001.461	 PspB	<-PspB*<-PspA	PspB	PspB	SIG	82	TH3_18500	bacteria>proteobacteria>alphaproteobacteria	Thalassospira xiamenensis M-5 = DSM 17429	Phage shock protein B [Thalassospira xiamenensis M-5 = DSM 17429]	745811106
AJQ92604.1	pspb	000001.461	 PspB	<-PspC<-PspB*<-PspA	PspB	PspB	SIG	82	YC6258_00554	bacteria>proteobacteria>gammaproteobacteria	Gynuella sunshinyii YC6258	hypothetical Protein YC6258_00554 [Gynuella sunshinyii YC6258]	764034370
AAV81571.1	pspb	000001.461	 PspB	<-NtrC-AAA+FIS-HTH<-?<-ELM2<-?<-?<-?<-PspC<-PspB*<-PspA	PspB	PspB	SIG	80	pspB	bacteria>proteobacteria>gammaproteobacteria	Idiomarina loihiensis L2TR	Phage shock protein B [Idiomarina loihiensis L2TR]	56178849
AEH33395.1	pspb	000001.461	 PspB	<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->?->?->?->ABC-ATPase->ABC-ATPase->	PspB	PspB	SIG	80	VAA_02131	bacteria>proteobacteria>gammaproteobacteria	Vibrio anguillarum 775	Phage shock protein B [Vibrio anguillarum 775]	335342112
AGM35599.1	pspb	000001.461	 PspB	<-NtrC-AAA+FIS-HTH<-?<-ELM2<-?<-?<-?<-PspC<-PspB*<-PspA	PspB	PspB	SIG	80	pspB	bacteria>proteobacteria>gammaproteobacteria	Idiomarina loihiensis GSL 199	phage shock protein B [Idiomarina loihiensis GSL 199]	507119219
