AccNum	Query	ClustID	ClustName	GenContext	PFAM	DomArch	arch.TMSIG	Length	GenName	Lineage	Species.old	Annotation	GI
CBJ49196.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	-	384	Esi_0211_0017	eukaryota>stramenopiles	Ectocarpus siliculosus	Probable membrane-associated 30 kDa protein, chloroplast precursor [Ectocarpus siliculosus]	298708699
GAQ90683.1	pspa	000001.1454	 PspA	<-PspA*	SIG+PspA_IM30	SIG+PspA	SIG	348	KFL_006730040	eukaryota>viridiplantae	Klebsormidium nitens	Vesicle-Inducing Protein in Plastids [Klebsormidium nitens]	971507523
AOL22920.1	pspa	000001.1454	 PspA	<-SIG+PspB<-?<-SIG+PspB<-SIG+PspB<-SIG+PspB<-PspC<-PspB<-PspA*	PspA_IM30	PspA	-	340	Ga0102493_111899	bacteria>proteobacteria>alphaproteobacteria	Erythrobacter litoralis	phage shock protein A [Erythrobacter litoralis]	1062073128
CEL99851.1	pspa	000001.1454	 PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	335	Vbra_22490	eukaryota>alveolata	Vitrella brassicaformis CCMP3155	unnamed protein product [Vitrella brassicaformis CCMP3155]	873235766
NP_564846.1	pspa	000001.1454	 PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	330	plastid,transcriptionally,active,4,T8F5.2,T8F5_2,VESICLE-INDUCING,PROTEIN,IN,PLASTIDS,1,VIPP1	eukaryota>viridiplantae	Arabidopsis thaliana	plastid transcriptionally active 4 [Arabidopsis thaliana]	18408237
XP_006353230.1	pspa	000001.1454	 PspA	<-PspA*	SIG+PspA_IM30	SIG+PspA	SIG	330	LOC102595670	eukaryota>viridiplantae	Solanum tuberosum	PREDICTED: membrane-associated protein VIPP1, chloroplastic [Solanum tuberosum]	565373334
XP_002276816.1	pspa	000001.1454	 PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	324	LOC100249595	eukaryota>viridiplantae	Vitis vinifera	PREDICTED: membrane-associated protein VIPP1, chloroplastic isoform X1 [Vitis vinifera]	225430912
NP_001242581.1	pspa	000001.1454	 PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	323	LOC100781742	eukaryota>viridiplantae	Glycine max	uncharacterized protein LOC100781742 [Glycine max]	363807044
XP_006602846.1	pspa	000001.1454	 PspA	-	SIG+PspA_IM30	SIG+PspA	SIG	323	LOC100794403	eukaryota>viridiplantae	Glycine max	PREDICTED: membrane-associated protein VIPP1, chloroplastic-like isoform X1 [Glycine max]	571548743
XP_019075171.1	pspa	000001.1454	 PspA	-	SIG+PspA_IM30	SIG+PspA	SIG	323	LOC100249595	eukaryota>viridiplantae	Vitis vinifera	PREDICTED: probable membrane-associated 30 kDa protein, chloroplastic isoform X2 [Vitis vinifera]	1105487811
NP_001242008.1	pspa	000001.1454	 PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	322	LOC100818209	eukaryota>viridiplantae	Glycine max	uncharacterized protein LOC100818209 [Glycine max]	363806682
XP_003552456.1	pspa	000001.1454	 PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	322	LOC100794403	eukaryota>viridiplantae	Glycine max	PREDICTED: membrane-associated protein VIPP1, chloroplastic-like isoform X2 [Glycine max]	356568515
OEU19725.1	pspa	000001.1454	 PspA	<-PspA*	SIG+PspA_IM30	SIG+PspA	SIG	319	FRACYDRAFT_268075	eukaryota>stramenopiles	Fragilariopsis cylindrus CCMP1102	PspA_IM30-domain-containing protein [Fragilariopsis cylindrus CCMP1102]	1072234996
XP_002179417.1	pspa	000001.1454	 PspA	<-PspA*	SIG+PspA_IM30	SIG+PspA	SIG	319	PHATRDRAFT_19661	eukaryota>stramenopiles	Phaeodactylum tricornutum CCAP 1055/1	predicted protein [Phaeodactylum tricornutum CCAP 1055/1]	219117245
NP_001130281.1	pspa	000001.1454	 PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	316	GRMZM2G017077	eukaryota>viridiplantae	Zea mays	IM30 protein-like protein [Zea mays]	212274505
XP_005539259.1	pspa	000001.1454	 PspA	PspA*->	PspA_IM30	PspA	-	314	CYME_CMT244C	eukaryota>rhodophyta	Cyanidioschyzon merolae strain 10D	vesicle-inducing protein in plastids 1VIPP1 [Cyanidioschyzon merolae strain 10D]	544218231
AKM07641.1	pspa	000001.1454	 PspA	PspA*->PspB->PspC->SIG+PspB->SIG+PspB->SIG+PspB->SIG+PspB->	PspA_IM30	PspA	-	312	AM2010_1572	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter marensis	phage-shock protein [Altererythrobacter marensis]	831205804
XP_003056665.1	pspa	000001.1454	 PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	312	MICPUCDRAFT_37369	eukaryota>viridiplantae>chlorophyta	Micromonas pusilla CCMP1545	predicted protein [Micromonas pusilla CCMP1545]	303274699
ALE16981.1	pspa	000001.1454	 PspA	PspA*->PspB->PspC->SIG+PspB->SIG+PspB->SIG+PspB->	PspA_IM30	PspA	-	311	AMC99_01690	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter epoxidivorans	Phage shock protein A [Altererythrobacter epoxidivorans]	927349970
EWM22149.1	pspa	000001.1454	 PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	311	Naga_100064g8	eukaryota>stramenopiles	Nannochloropsis gaditana	membrane-associated 30 kda protein [Nannochloropsis gaditana]	585102570
ANY19549.1	pspa	000001.1454	 PspA	<-SIG+PspB<-SIG+PspB<-SIG+PspB<-PspC<-PspB<-PspA*<-?||NtrC-AAA+FIS-HTH->	PspA_IM30	PspA	-	308	pspA	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter dongtanensis	Phage shock protein A [Altererythrobacter dongtanensis]	1049199351
XP_005843842.1	pspa	000001.1454	 PspA	<-PspA*	SIG+PspA_IM30	SIG+PspA	SIG	306	CHLNCDRAFT_59172	eukaryota>viridiplantae>chlorophyta	Chlorella variabilis	hypothetical protein CHLNCDRAFT_59172 [Chlorella variabilis]	552812993
EJK65858.1	pspa	000001.1454	 PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	303	THAOC_13240	eukaryota>stramenopiles	Thalassiosira oceanica	hypothetical protein THAOC_13240 [Thalassiosira oceanica]	397620704
XP_011395983.1	pspa	000001.1454	 PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	301	F751_3304	eukaryota>viridiplantae>chlorophyta	Auxenochlorella protothecoides	Membrane-associated protein VIPP1, chloroplastic [Auxenochlorella protothecoides]	760437829
XP_005840801.1	pspa	000001.1454	 PspA	<-PspA*	SIG+PspA_IM30	SIG+PspA	SIG	300	GUITHDRAFT_150304	eukaryota>cryptophyta	Guillardia theta CCMP2712	hypothetical protein GUITHDRAFT_150304 [Guillardia theta CCMP2712]	551676094
XP_001756475.1	pspa	000001.1454	 PspA	<-PspA*	SIG+PspA_IM30	SIG+PspA	SIG	297	PHYPADRAFT_117800	eukaryota>viridiplantae	Physcomitrella patens	predicted protein [Physcomitrella patens]	168007558
CEL97660.1	pspa	000001.1454	 PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	296	Vbra_12245	eukaryota>alveolata	Vitrella brassicaformis CCMP3155	unnamed protein product [Vitrella brassicaformis CCMP3155]	873237509
AHG90291.1	pspa	000001.1454	 PspA	TM->?->?->?->Cluster41_7clades->PspA*->SIG+TM+TM+TM+TM+TM+TM+TM->DUF1611-AAA-ATPase->SIG+AcrF10->	PspA_IM30	PspA	-	288	J421_2754	bacteria>gemmatimonadetes	Gemmatirosa kalamazoonesis	PspA/IM30 family protein [Gemmatirosa kalamazoonesis]	575459174
XP_001693830.1	pspa	000001.1454	 PspA	<-PspA*	SIG+PspA_IM30	SIG+PspA	SIG	288	VIPP1	eukaryota>viridiplantae>chlorophyta	Chlamydomonas reinhardtii	vesicle inducing protein in plastids 1 [Chlamydomonas reinhardtii]	159471371
XP_002949072.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	SIG	288	VOLCADRAFT_117015	eukaryota>viridiplantae>chlorophyta	Volvox carteri f. nagariensis	hypothetical protein VOLCADRAFT_117015 [Volvox carteri f. nagariensis]	302835020
AMW04363.1	pspa	000001.1454	 PspA	Cluster41_7clades->PspA*->DUF1611-AAA-ATPase->	PspA_IM30	PspA	-	287	GEMMAAP_04905	bacteria>gemmatimonadetes	Gemmatimonas phototrophica	phage-shock protein [Gemmatimonas phototrophica]	1015603446
XP_002948865.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	-	287	VOLCADRAFT_104059	eukaryota>viridiplantae>chlorophyta	Volvox carteri f. nagariensis	hypothetical protein VOLCADRAFT_104059 [Volvox carteri f. nagariensis]	302834605
AIT79426.1	pspa	000001.1454	 PspA	PspA*->PspC->SIG+PspB->SIG+PspB->SIG+PspB->	PspA_IM30	PspA	-	286	JI59_06345	bacteria>proteobacteria>alphaproteobacteria	Novosphingobium pentaromativorans US6-1	phage-shock protein [Novosphingobium pentaromativorans US6-1]	698179901
ANU08485.1	pspa	000001.1454	 PspA	PspA*->PspB->PspC->SIG+PspB->SIG+PspB->	PspA_IM30	PspA	-	286	pspA	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter namhicola	Phage shock protein A [Altererythrobacter namhicola]	1044955214
CCA92040.1	pspa	000001.1454	 PspA	<-SIG+PspB<-SIG+PspB<-PspC<-PspA*	PspA_IM30	PspA	-	286	PP1Y_AT11156	bacteria>proteobacteria>alphaproteobacteria	Novosphingobium sp. PP1Y	phage shock protein A, PspA [Novosphingobium sp. PP1Y]	333938682
XP_013900795.1	pspa	000001.1454	 PspA	<-PspA*	SIG+PspA_IM30	SIG+PspA	SIG	286	MNEG_6184	eukaryota>viridiplantae>chlorophyta	Monoraphidium neglectum	putative membrane-associated protein, chloroplastic Flags: Precursor [Monoraphidium neglectum]	926784642
AKQ43414.2	pspa	000001.1454	 PspA	<-NtrC-AAA+FIS-HTH||?->PspA*->PspB->PspC->SIG+PspB->SIG+PspB->?->SIG+PspB->SIG+PspB->	PspA_IM30	PspA	-	284	CP97_11730	bacteria>proteobacteria>alphaproteobacteria	Erythrobacter atlanticus	sigma54-dependent transcription suppressor [Erythrobacter atlanticus]	1025709018
BAH37875.1	pspa	000001.1454	 PspA	Cluster41_7clades->PspA*->	PspA_IM30	PspA	-	284	GAU_0833	bacteria>gemmatimonadetes	Gemmatimonas aurantiaca T-27	hypothetical protein GAU_0833 [Gemmatimonas aurantiaca T-27]	226089430
ACY13127.1	pspa	000001.1454	 PspA	<-SIG+TM+TM+TM+TM+TM+TM+TM<-Prenyltransf||PspA*->	PspA_IM30	PspA	-	283	Hoch_0487	bacteria>proteobacteria>deltaproteobacteria	Haliangium ochraceum DSM 14365	phage shock protein A, PspA [Haliangium ochraceum DSM 14365]	262077158
XP_013897323.1	pspa	000001.1454	 PspA	PspA*->	PspA_IM30	PspA	SIG	282	MNEG_9660	eukaryota>viridiplantae>chlorophyta	Monoraphidium neglectum	Membrane-associated protein [Monoraphidium neglectum]	926777698
ABA19788.1	pspa	000001.1454	 PspA	-	SIG+PspA_IM30	SIG+PspA	SIG	281	Ava_0162	bacteria>cyanobacteria	Anabaena variabilis ATCC 29413	phage shock protein A, PspA [Anabaena variabilis ATCC 29413]	75700112
ABC62771.1	pspa	000001.1454	 PspA	<-SIG+PspB<-SIG+PspB<-SIG+PspB<-?<-PspC<-PspB<-PspA*	PspA_IM30	PspA	-	281	ELI_03395	bacteria>proteobacteria>alphaproteobacteria	Erythrobacter litoralis HTCC2594	sigma54-dependent transcription suppressor [Erythrobacter litoralis HTCC2594]	84786589
BAC09244.1	pspa	000001.1454	 PspA	ABC-ATPase->tRNA->?->tRNA-><-PspA*<-adh_short_C2<-?<-SIG+PSII_BNR	PspA_IM30	PspA	-	281	tll1692	bacteria>cyanobacteria	Thermosynechococcus elongatus BP-1	tll1692 [Thermosynechococcus elongatus BP-1]	22295417
APR76614.1	pspa	000001.1454	 PspA	<-PspA*<-Cluster41_7clades	PspA_IM30	PspA	SIG	279	A7982_01961	bacteria>proteobacteria>deltaproteobacteria	Minicystis rosea	Phage shock protein A [Minicystis rosea]	1127355211
AFG38794.1	pspa	000001.1454	 PspA	<-PspA*<-?<-adh_short||?-><-NtrC-AAA+FIS-HTH||?-><-?<-Methyltrans_RNA	PspA_IM30	PspA	-	278	Spiaf_2770	bacteria>spirochaetes	Spirochaeta africana DSM 8902	phage shock protein A (IM30), suppresses sigma54-dependent transcription [Spirochaeta africana DSM 8902]	383108461
AKT39210.1	pspa	000001.1454	 PspA	<-PspA*<-Cluster41_7clades	PspA_IM30	PspA	SIG	278	CMC5_033590	bacteria>proteobacteria>deltaproteobacteria	Chondromyces crocatus	lipid transfer protein M30-like protein [Chondromyces crocatus]	908356635
AKU99800.1	pspa	000001.1454	 PspA	<-PspA*<-Cluster41_7clades	PspA_IM30	PspA	-	278	AKJ09_06464	bacteria>proteobacteria>deltaproteobacteria	Labilithrix luteola	Phage shock protein A [Labilithrix luteola]	913617268
CAN95635.1	pspa	000001.1454	 PspA	Cluster41_7clades->PspA*->	PspA_IM30	PspA	SIG	278	pspA	bacteria>proteobacteria>deltaproteobacteria	Sorangium cellulosum So ce56	similar to chloroplast membrane-associated 30 kD protein [Sorangium cellulosum So ce56]	161164330
AGP38898.1	pspa	000001.1454	 PspA	Cluster41_7clades->PspA*->	PspA_IM30	PspA	SIG	277	SCE1572_33065	bacteria>proteobacteria>deltaproteobacteria	Sorangium cellulosum So0157-2	phage-shock protein [Sorangium cellulosum So0157-2]	521005895
AOR78372.1	pspa	000001.1454	 PspA	<-SIG+PspB<-SIG+PspB<-SIG+PspB<-SIG+PspB<-PspC<-PspA*	PspA_IM30	PspA	-	276	BES08_17645	bacteria>proteobacteria>alphaproteobacteria	Novosphingobium resinovorum	phage shock protein PspA [Novosphingobium resinovorum]	1069774605
ALG62355.1	pspa	000001.1454	 PspA	PspA*->PspB->PspC->SIG+PspB->SIG+PspB->SIG+PspB->SIG+PspB->	PspA_IM30	PspA	-	275	WG74_11315	bacteria>proteobacteria>alphaproteobacteria	Citromicrobium sp. JL477	phage-shock protein [Citromicrobium sp. JL477]	932138938
CBT77286.1	pspa	000001.1454	 PspA	SIG+TM+HISKIN->REC+LuxR-HTH->?-><-PspA*	PspA_IM30	PspA	SIG	275	AARI_30820	bacteria>actinobacteria	Glutamicibacter arilaitensis Re117	pspA/IM30 family protein [Glutamicibacter arilaitensis Re117]	307746314
XP_001765371.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	-	275	PHYPADRAFT_129336	eukaryota>viridiplantae	Physcomitrella patens	predicted protein, partial [Physcomitrella patens]	168025699
ABD25601.1	pspa	000001.1454	 PspA	<-ABC-ATPase||?-><-?<-NtrC-AAA+FIS-HTH||?->PspA*->PspB->PspC->SIG+PspB->SIG+PspB->SIG+PspB->SIG+PspB->	PspA_IM30	PspA	-	274	Saro_1156	bacteria>proteobacteria>alphaproteobacteria	Novosphingobium aromaticivorans DSM 12444	phage shock protein A, PspA [Novosphingobium aromaticivorans DSM 12444]	87134859
ACS30989.1	pspa	000001.1454	 PspA	PspA*->	PspA_IM30	PspA	SIG	274	Mlut_14960	bacteria>actinobacteria	Micrococcus luteus NCTC 2665	phage shock protein A, PspA [Micrococcus luteus NCTC 2665]	239839192
AEB48565.1	pspa	000001.1454	 PspA	Acyltransferase->PspA*->PspC->?-><-?||?-><-SIG+TM+TM+TM+TM+TM+TM+TM	SIG+PspA_IM30	SIG+PspA	SIG	274	B565_0530	bacteria>proteobacteria>gammaproteobacteria	Aeromonas veronii B565	Phage shock protein A [Aeromonas veronii B565]	328803366
ANK13980.1	pspa	000001.1454	 PspA	PspA*->PspB->PspC->SIG+PspB->SIG+PspB->SIG+PspB->	PspA_IM30	PspA	-	274	A9D12_01030	bacteria>proteobacteria>alphaproteobacteria	Porphyrobacter neustonensis	phage shock protein PspA [Porphyrobacter neustonensis]	1036422348
BAB74042.1	pspa	000001.1454	 PspA	-	SIG+PspA_IM30	SIG+PspA	SIG	274	all2343	bacteria>cyanobacteria	Nostoc sp. PCC 7120	all2343 [Nostoc sp. PCC 7120]	17131435
ABM09170.1	pspa	000001.1454	 PspA	<-SIG+CR-Trypsin3+PDZ||?->PspA*->	PspA_IM30	PspA	-	273	AAur_2727	bacteria>actinobacteria	Paenarthrobacter aurescens TC1	pspA/IM30 family protein [Paenarthrobacter aurescens TC1]	119950259
AMM33330.1	pspa	000001.1454	 PspA	PspA*->	PspA_IM30	PspA	SIG	273	SA2016_2665	bacteria>actinobacteria	Sinomonas atrocyanea	Phage shock protein A, PspA [Sinomonas atrocyanea]	1001866844
ABY23002.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	-	272	RSal33209_1265	bacteria>actinobacteria	Renibacterium salmoninarum ATCC 33209	phage shock protein A [Renibacterium salmoninarum ATCC 33209]	162953487
AKH41089.1	pspa	000001.1454	 PspA	<-SIG+PspB<-?<-SIG+PspB<-SIG+PspB<-SIG+PspB<-PspC<-PspB<-PspA*<-?||NtrC-AAA+FIS-HTH->	PspA_IM30	PspA	-	272	pspA_1	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter atlanticus	Phage shock protein A [Altererythrobacter atlanticus]	821378264
APE26929.1	pspa	000001.1454	 PspA	<-NtrC-AAA+FIS-HTH||?->PspA*->PspB->PspC->SIG+PspB->SIG+PspB->SIG+PspB->SIG+PspB->SIG+PspB->	PspA_IM30	PspA	-	271	BMF35_a0100	bacteria>proteobacteria>alphaproteobacteria	Erythrobacter gangjinensis	Phage shock protein A [Erythrobacter gangjinensis]	1108535277
APF41601.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	KptA-ART	269	BHE16_00170	bacteria>actinobacteria	Neomicrococcus aestuarii	hypothetical protein BHE16_00170 [Neomicrococcus aestuarii]	1109134989
XP_019075237.1	pspa	000001.1454	 PspA	PspA*->PspA*->PspA*->PspA*->	PspA_IM30	PspA	-	269	LOC100250774	eukaryota>viridiplantae	Vitis vinifera	PREDICTED: membrane-associated 30 kDa protein, chloroplastic isoform X1 [Vitis vinifera]	1105488120
XP_019075238.1	pspa	000001.1454	 PspA	-	PspA_IM30	PspA	-	269	LOC100250774	eukaryota>viridiplantae	Vitis vinifera	PREDICTED: membrane-associated 30 kDa protein, chloroplastic isoform X1 [Vitis vinifera]	1105488122
