AccNum	DomArch	DomArch.repeats	GenContext	GenContext.repeats	Lineage	Species	GeneName	Length	GCA_ID
BAM47847.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	ABC-ATPase->X(s)->PadR-HTH->ahelical+TM(s)->	ABC-ATPase->?->?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Amphibacillus xylanus NBRC 15112	AXY_17150	316	GCA_000307165.1
AGY82380.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Carnobacterium inhibens subsp gilichinskyi	Q783_09320	327	GCA_000493735.1
AEB30691.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	<-CS||X(s)||PadR-HTH->X(s)->PadR-HTH->ahelical+TM(s)->	<-CS||?->||<-?||PadR-HTH->?->?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Carnobacterium sp 174	CAR_c20340	327	GCA_000195575.1
ALV22001.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	<-SIG+TM(s)<-X(s)->PadR-HTH->ahelical+TM(s)->	<-SIG+TM+TM+TM+TM+TM<-?||?->||<-?||?->?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Carnobacterium sp CP1	NY10_1396	328	GCA_001483965.1
ADZ81887.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Cellulosilyticum lentocellum DSM 5427	Clole_0130	328	GCA_000178835.2
APM39058.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	ABC-ATPase->X->REC+OmpR-HTH->SIG+TM+HAMP+HISKIN->PadR-HTH->ahelical+TM(s)->	ABC-ATPase->?->REC+OmpR-HTH->SIG+TM+HAMP+HISKIN->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Clostridium kluyveri	BS101_10020	323	GCA_001902295.1
EDK33682.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	ABC-ATPase->X->REC+OmpR-HTH->SIG+TM+HAMP+HISKIN->PadR-HTH->ahelical+TM(s)->	ABC-ATPase->?->REC+OmpR-HTH->SIG+TM+HAMP+HISKIN->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Clostridium kluyveri DSM 555	CKL_1640	323	GCA_000016505.1
BAH06576.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	ABC-ATPase->X->REC+OmpR-HTH->SIG+TM+HAMP+HISKIN->PadR-HTH->ahelical+TM(s)->	ABC-ATPase->?->REC+OmpR-HTH->SIG+TM+HAMP+HISKIN->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Clostridium kluyveri NBRC 12016	CKR_1525	323	GCA_000010265.1
AQR90192.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Clostridium saccharobutylicum	CLOSC_19070	327	GCA_002003285.1
AQS00098.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Clostridium saccharobutylicum	CSACC_19140	327	GCA_002003325.1
