AccNum	Query	ClustID	ClustName	GenContext	PFAM	DomArch	arch.TMSIG	Length	GenName	Lineage	Species.old	Annotation	GI
ALN16120.1	pspn	000001.410	 DUF3046	<-DUF3046*	DUF3046	-	-	64	ASQ49_13580	bacteria>actinobacteria	Acidipropionibacterium acidipropionici	GCA_001441165.1	hypothetical protein ASQ49_13580 [Acidipropionibacterium acidipropionici]
AMS04683.1	pspn	000001.410	 DUF3046	<-DUF3046*	DUF3046	-	-	64	AXH35_03460	bacteria>actinobacteria	Acidipropionibacterium acidipropionici	GCA_001602115.1	hypothetical protein AXH35_03460 [Acidipropionibacterium acidipropionici]
AOZ46173.1	pspn	000001.410	 DUF3046	<-DUF3046*	DUF3046	-	-	64	A8L58_04925	bacteria>actinobacteria	Acidipropionibacterium acidipropionici	GCA_001855335.1	hypothetical protein A8L58_04925 [Acidipropionibacterium acidipropionici]
APZ08131.1	pspn	000001.410	 DUF3046	DUF3046*->	DUF3046	-	-	64	BWX38_01300	bacteria>actinobacteria	Acidipropionibacterium acidipropionici	GCA_001975205.1	hypothetical protein BWX38_01300 [Acidipropionibacterium acidipropionici]
AFV89337.1	pspn	000001.410	 DUF3046	DUF3046*->	DUF3046	-	-	64	PACID_15240	bacteria>actinobacteria	Acidipropionibacterium acidipropionici ATCC 4875	GCA_000310065.1	hypothetical protein PACID_15240 [Acidipropionibacterium acidipropionici ATCC 4875]
ABK53265.1	pspn	000001.410	 DUF3046	<-DUF3046*	DUF3046	-	-	64	Acel_1493	bacteria>actinobacteria	Acidothermus cellulolyticus 11B	GCA_000015025.1	hypothetical protein Acel_1493 [Acidothermus cellulolyticus 11B]
AOS65088.1	pspn	000001.410	 DUF3046	DUF3046*->	DUF3046	-	-	64	TL08_21505	bacteria>actinobacteria	Actinoalloteichus hymeniacidonis	GCA_001747425.1	putative DUF3046 family protein [Actinoalloteichus hymeniacidonis]
APU16938.1	pspn	000001.410	 DUF3046	DUF3046*->	DUF3046	-	-	64	UA74_24620	bacteria>actinobacteria	Actinoalloteichus sp. ADI127-7	GCA_001941625.1	putative DUF3046 family protein [Actinoalloteichus sp. ADI127-7]
APU23018.1	pspn	000001.410	 DUF3046	DUF3046*->	DUF3046	-	-	64	UA75_25200	bacteria>actinobacteria	Actinoalloteichus sp. GBA129-24	GCA_001941645.1	putative DUF3046 family protein [Actinoalloteichus sp. GBA129-24]
AMD98075.1	pspn	000001.410	 DUF3046	<-DUF3046*	DUF3046	-	-	72	AXE84_00375	bacteria>actinobacteria	Actinomyces oris	GCA_001553935.1	hypothetical protein AXE84_00375 [Actinomyces oris]
