AccNum	GenContext.orig	arch.PFAM	DomArch.orig	arch.TMSIG	Length	GenName	Lineage	Species.orig	Annotation	GI	ClustName	ClustID	Query
CQR63836.1	ABC-ATPase->DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	290	sle_43780	bacteria>actinobacteria	Streptomyces leeuwenhoekii	Uncharacterized protein Rv0966c/MT0994 [Streptomyces leeuwenhoekii]	822880046	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
CBG72710.1	ABC-ATPase->DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707	DUF1707-SHOCT-bihelical+Toast-rack	-	283	SCAB_56841	bacteria>actinobacteria	Streptomyces scabiei 87.22	conserved hypothetical protein [Streptomyces scabiei 87.22]	260649595	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
ACZ89410.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	276	Sros_6701	bacteria>actinobacteria	Streptosporangium roseum DSM 43021	hypothetical protein Sros_6701 [Streptosporangium roseum DSM 43021]	270511132	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AOU77123.1	<-DUF1707-SHOCT-bihelical+Toast-rack*<-ABC-ATPase	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	276	SLNHY_2432	bacteria>actinobacteria	Streptomyces albus	hypothetical protein SLNHY_2432 [Streptomyces albus]	1073940366	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AJT64665.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	270	T261_2994	bacteria>actinobacteria	Streptomyces lydicus	hypothetical protein T261_2994 [Streptomyces lydicus]	768314884	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
CAJ61053.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	260	FRAAL2404	bacteria>actinobacteria	Frankia alni ACN14a	conserved hypothetical protein [Frankia alni ACN14a]	111149364	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
ADI09821.1	ABC-ATPase->DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	258	SBI_06701	bacteria>actinobacteria	Streptomyces bingchenggensis BCW-1	hypothetical protein SBI_06701 [Streptomyces bingchenggensis BCW-1]	297160109	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AOR34046.1	<-DUF1707-SHOCT-bihelical+Toast-rack*<-ABC-ATPase	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	251	BFF78_26000	bacteria>actinobacteria	Streptomyces puniciscabiei	hypothetical protein BFF78_26000 [Streptomyces puniciscabiei]	1069157135	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
ADG88958.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	248	Tbis_2248	bacteria>actinobacteria	Thermobispora bispora DSM 43833	protein of unknown function DUF1707 [Thermobispora bispora DSM 43833]	296093006	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AEM87568.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	247	Strvi_8248	bacteria>actinobacteria	Streptomyces violaceusniger Tu 4113	protein of unknown function DUF1707 [Streptomyces violaceusniger Tu 4113]	344041843	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AJE82682.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	246	SLNWT_2306	bacteria>actinobacteria	Streptomyces albus	hypothetical protein SLNWT_2306 [Streptomyces albus]	749176936	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
BAJ30561.1	DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	246	KSE_47810	bacteria>actinobacteria	Kitasatospora setae KM-6054	hypothetical protein KSE_47810 [Kitasatospora setae KM-6054]	311898153	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AHW64004.1	DUF1707-SHOCT-bihelical+Toast-rack*-><-?<-ABC-ATPase	SIG+DUF1707+DUF2154	SIG+DUF1707-SHOCT-bihelical+Toast-rack	SIG	242	CGLY_07795	bacteria>actinobacteria	Corynebacterium glyciniphilum AJ 3170	Hypothetical protein CGLY_07795 [Corynebacterium glyciniphilum AJ 3170]	610393041	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
ALU94055.1	<-DUF1707-SHOCT-bihelical+Toast-rack*<-ABC-ATPase	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	237	WQO_12270	bacteria>actinobacteria	Streptomyces globisporus C-1027	hypothetical protein WQO_12270 [Streptomyces globisporus C-1027]	971156451	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AQS67773.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	235	B1H29_13320	bacteria>actinobacteria	Streptomyces pactum	hypothetical protein B1H29_13320 [Streptomyces pactum]	1148982046	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
ALC04984.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707	DUF1707-SHOCT-bihelical+Toast-rack	-	234	CDES_02645	bacteria>actinobacteria	Corynebacterium deserti GIMN1.010	hypothetical protein CDES_02645 [Corynebacterium deserti GIMN1.010]	924518406	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AOT60823.1	DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	234	A4G23_03698	bacteria>actinobacteria	Streptomyces rubrolavendulae	hypothetical protein A4G23_03698 [Streptomyces rubrolavendulae]	1072813404	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
BAK33560.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	233	MLP_05460	bacteria>actinobacteria	Microlunatus phosphovorus NM-1	hypothetical protein MLP_05460 [Microlunatus phosphovorus NM-1]	334683975	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
APA95104.1	DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707	DUF1707-SHOCT-bihelical+Toast-rack	-	232	NS506_01030	bacteria>actinobacteria	Nocardia seriolae	hypothetical protein NS506_01030 [Nocardia seriolae]	1098536319	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
ACU70722.1	Cluster8_2clades->?->DUF1707-SHOCT-bihelical+Toast-rack*->ABC-ATPase->	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	231	Caci_1801	bacteria>actinobacteria	Catenulispora acidiphila DSM 44928	protein of unknown function DUF1707 [Catenulispora acidiphila DSM 44928]	256357225	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
ADG97724.1	<-DUF1707-SHOCT-bihelical+Toast-rack*<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	231	Srot_1254	bacteria>actinobacteria	Segniliparus rotundus DSM 44985	protein of unknown function DUF1707 [Segniliparus rotundus DSM 44985]	296180818	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
CAI37388.1	DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707	DUF1707-SHOCT-bihelical+Toast-rack	-	230	jk1224	bacteria>actinobacteria	Corynebacterium jeikeium K411	hypothetical protein jk1224 [Corynebacterium jeikeium K411]	68263900	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
ADG89768.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	SIG+DUF1707	SIG+DUF1707-SHOCT-bihelical+Toast-rack	SIG	229	Tbis_3073	bacteria>actinobacteria	Thermobispora bispora DSM 43833	protein of unknown function DUF1707 [Thermobispora bispora DSM 43833]	296093816	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
ANE03200.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	229	ccrud_02570	bacteria>actinobacteria	Corynebacterium crudilactis	hypothetical protein ccrud_02570 [Corynebacterium crudilactis]	1027915715	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
CCH86505.1	DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	229	MODMU_1055	bacteria>actinobacteria	Modestobacter marinus	conserved protein of unknown function [Modestobacter marinus]	388484963	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
ACY96669.1	DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	227	Tcur_1084	bacteria>actinobacteria	Thermomonospora curvata DSM 43183	protein of unknown function DUF1707 [Thermomonospora curvata DSM 43183]	268310295	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AJT65954.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	225	T261_4300	bacteria>actinobacteria	Streptomyces lydicus	hypothetical protein T261_4300 [Streptomyces lydicus]	768316173	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AKK10764.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	225	CUTER_03790	bacteria>actinobacteria	Corynebacterium uterequi	putative DUF1707 family protein/predicted membrane protein (DUF2154) [Corynebacterium uterequi]	827636030	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
APE10646.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707	DUF1707-SHOCT-bihelical+Toast-rack	-	224	BO226_16770	bacteria>actinobacteria	Rhodococcus sp. 2G	hypothetical protein BO226_16770 [Rhodococcus sp. 2G]	1108518988	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
BAG17240.1	DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707	DUF1707-SHOCT-bihelical	-	224	SGR_411	bacteria>actinobacteria	Streptomyces griseus subsp. griseus NBRC 13350	conserved hypothetical protein [Streptomyces griseus subsp. griseus NBRC 13350]	178462720	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AGF71494.1	-	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	223	A605_02400	bacteria>actinobacteria	Corynebacterium halotolerans YIM 70093 = DSM 44683	hypothetical protein A605_02400 [Corynebacterium halotolerans YIM 70093 = DSM 44683]	451902607	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AJK67989.1	<-DUF1707-SHOCT-bihelical+Toast-rack*<-RADICAL-SAM<-ATPcone	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	Phage-tail-tape	223	B840_01805	bacteria>actinobacteria	Corynebacterium marinum DSM 44953	hypothetical protein B840_01805 [Corynebacterium marinum DSM 44953]	755971113	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AKL70217.1	DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	223	M444_22155	bacteria>actinobacteria	Streptomyces sp. Mg1	hypothetical protein M444_22155 [Streptomyces sp. Mg1]	829484074	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
ADJ51002.1	DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707	DUF1707-SHOCT-bihelical+Toast-rack	-	222	AMED_9314	bacteria>actinobacteria	Amycolatopsis mediterranei U32	conserved hypothetical protein [Amycolatopsis mediterranei U32]	299800627	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
ADG97725.1	-	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	221	Srot_1255	bacteria>actinobacteria	Segniliparus rotundus DSM 44985	protein of unknown function DUF1707 [Segniliparus rotundus DSM 44985]	296180819	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AJE32192.1	<-DUF1707-SHOCT-bihelical+Toast-rack*<-RADICAL-SAM<-ATPcone	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	VbhA	221	B842_01685	bacteria>actinobacteria	Corynebacterium humireducens NBRC 106098 = DSM 45392	hypothetical protein B842_01685 [Corynebacterium humireducens NBRC 106098 = DSM 45392]	748228738	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
AKG45045.1	DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	221	SXIM_36610	bacteria>actinobacteria	Streptomyces xiamenensis	protein of unknown function DUF1707 [Streptomyces xiamenensis]	818446901	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
APE37719.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707	DUF1707-SHOCT-bihelical+Toast-rack	-	221	BOX37_31525	bacteria>actinobacteria	Nocardia soli	hypothetical protein BOX37_31525 [Nocardia soli]	1108546070	 DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT
