AccNum	GenContext	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Species	Lineage	Annotation	GI	Lineage.final	Lineage.final.old	Domain	DomArch.norep	GenContext.norep	DA.doms	GC.DA
GAQ79705.1	Snf7*->	SIG+PspA_IM30	SIG+EP1	PspA_IM30	516	KFL_000360210	Klebsormidium flaccidum	eukaryota>viridiplantae	PspA homolog [Klebsormidium flaccidum]	971518500	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	SIG+PspA_IM30	Snf7*->	SIG PspA_IM30	Snf7* 
XP_002506234.1	<-Snf7*	PspA_IM30	EnteCD	PspA_IM30	441	CUPC16	Micromonas commoda	eukaryota>viridiplantae>chlorophyta	hypothetical protein MICPUN_64198 [Micromonas commoda]	255088623	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota	PspA_IM30	<-Snf7*	PspA_IM30	 Snf7*
GAQ90370.1	<-PspA*	SIG+PspA_IM30	SIG+EnteCD	PspA_IM30	398	KFL_006320090	Klebsormidium flaccidum	eukaryota>viridiplantae	chloroplast membrane-associated 30 kD protein [Klebsormidium flaccidum]	971507841	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	SIG+PspA_IM30	<-PspA*	SIG PspA_IM30	 PspA*
XP_016432938.1	<-Snf7*	PspA_IM30	EnteCD	PspA_IM30	391	LOC107759493	Nicotiana tabacum	eukaryota>viridiplantae	PREDICTED: membrane-associated 30 kDa protein, chloroplastic-like, partial [Nicotiana tabacum]	1025379877	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	PspA_IM30	<-Snf7*	PspA_IM30	 Snf7*
CBJ49196.1	<-PspA*	PspA_IM30	-	PspA_IM30	384	Esi_0211_0017	Ectocarpus siliculosus	eukaryota>stramenopiles	Probable membrane-associated 30 kDa protein, chloroplast precursor [Ectocarpus siliculosus]	298708699	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota	PspA_IM30	<-PspA*	PspA_IM30	 PspA*
ACU53894.1	<-PspA*	PspA_IM30	-	PspA_IM30	372	Afer_0955	Acidimicrobium ferrooxidans DSM 10331	bacteria>actinobacteria	phage shock protein A, PspA [Acidimicrobium ferrooxidans DSM 10331]	256008327	bacteria>actinobacteria	bacteria>actinobacteria	bacteria	PspA_IM30	<-PspA*	PspA_IM30	 PspA*
GAQ90683.1	<-Snf7*	SIG+PspA_IM30	SIG	PspA_IM30	348	KFL_006730040	Klebsormidium flaccidum	eukaryota>viridiplantae	Vesicle-Inducing Protein in Plastids [Klebsormidium flaccidum]	971507523	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	SIG+PspA_IM30	<-Snf7*	SIG PspA_IM30	 Snf7*
AOL22920.1	<-PspB-new<-PspB-new<-PspB-new<-PspB-new<-PspB-new<-PspC+PspB-new<-PspB<-PspA*<-?||PspF:Sigma54+HTH->	PspA_IM30	-	PspA_IM30	340	Ga0102493_111899	Erythrobacter litoralis	bacteria>proteobacteria>alphaproteobacteria	phage shock protein A [Erythrobacter litoralis]	1062073128	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspA_IM30	<-PspB<-PspB<-PspB<-PspB<-PspB<-PspC+PspB<-PspB<-PspA*<-?||PspF:Sigma54+HTH->	PspA_IM30	 PspB PspB PspB PspB PspB PspC+PspB PspB PspA* ? PspF:Sigma54+HTH 
CEL99851.1	PspA*->	SIG+PspA_IM30	SIG	PspA_IM30	335	Vbra_22490	Vitrella brassicaformis CCMP3155	eukaryota>alveolata	unnamed protein product [Vitrella brassicaformis CCMP3155]	873235766	eukaryota>sar>alveolata	eukaryota>sar>alveolata	eukaryota	SIG+PspA_IM30	PspA*->	SIG PspA_IM30	PspA* 
NP_564846.1	Snf7*->	SIG+PspA_IM30	SIG+SidE	PspA_IM30	330	plastid,transcriptionally,active,4,T8F5.2,T8F5_2,VESICLE-INDUCING,PROTEIN,IN,PLASTIDS,1,VIPP1	Arabidopsis thaliana	eukaryota>viridiplantae	plastid transcriptionally active 4 [Arabidopsis thaliana]	18408237	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	SIG+PspA_IM30	Snf7*->	SIG PspA_IM30	Snf7* 
XP_006353230.1	<-Snf7*	SIG+PspA_IM30	SIG+EnteCD	PspA_IM30	330	LOC102595670	Solanum tuberosum	eukaryota>viridiplantae	PREDICTED: membrane-associated protein VIPP1, chloroplastic [Solanum tuberosum]	565373334	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	SIG+PspA_IM30	<-Snf7*	SIG PspA_IM30	 Snf7*
XP_002276816.1	Snf7*->	SIG+PspA_IM30	SIG+EnteCD	PspA_IM30	324	LOC100249595	Vitis vinifera	eukaryota>viridiplantae	PREDICTED: membrane-associated protein VIPP1, chloroplastic isoform X1 [Vitis vinifera]	225430912	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	SIG+PspA_IM30	Snf7*->	SIG PspA_IM30	Snf7* 
AKK07277.1	NYN->?-><-PspA*	PspA_IM30	-	PspA_IM30	323	CMUST_14940	Corynebacterium mustelae	bacteria>actinobacteria	phage shock protein A (PspA) family protein [Corynebacterium mustelae]	827632158	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	NYN->?-><-PspA*	PspA_IM30	NYN ? PspA*
NP_001242581.1	Snf7*->	SIG+PspA_IM30	SIG+EnteCD	PspA_IM30	323	LOC100781742	Glycine max	eukaryota>viridiplantae	uncharacterized protein LOC100781742 [Glycine max]	363807044	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	SIG+PspA_IM30	Snf7*->	SIG PspA_IM30	Snf7* 
NP_001242008.1	Snf7*->	SIG+PspA_IM30	SIG+EnteCD	PspA_IM30	322	LOC100818209	Glycine max	eukaryota>viridiplantae	uncharacterized protein LOC100818209 [Glycine max]	363806682	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	SIG+PspA_IM30	Snf7*->	SIG PspA_IM30	Snf7* 
XP_003552456.1	Snf7*->	SIG+PspA_IM30	SIG	PspA_IM30	322	LOC100794403	Glycine max	eukaryota>viridiplantae	PREDICTED: membrane-associated protein VIPP1, chloroplastic-like isoform X2 [Glycine max]	356568515	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	SIG+PspA_IM30	Snf7*->	SIG PspA_IM30	Snf7* 
OEU19725.1	<-PspA*	SIG+PspA_IM30	SIG	PspA_IM30	319	FRACYDRAFT_268075	Fragilariopsis cylindrus CCMP1102	eukaryota>stramenopiles	PspA_IM30-domain-containing protein [Fragilariopsis cylindrus CCMP1102]	1072234996	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota	SIG+PspA_IM30	<-PspA*	SIG PspA_IM30	 PspA*
XP_002179417.1	<-PspA*	SIG+PspA_IM30	SIG	PspA_IM30	319	PHATRDRAFT_19661	Phaeodactylum tricornutum CCAP 10551	eukaryota>stramenopiles	predicted protein [Phaeodactylum tricornutum CCAP 1055/1]	219117245	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota	SIG+PspA_IM30	<-PspA*	SIG PspA_IM30	 PspA*
AEI10477.1	ADH_short->?-><-SIG+TMs-MFS:EmrB<-PspA*||?-><-Thioredoxin:trxA	PspA_IM30	-	PspA_IM30	317	rsmP	Corynebacterium resistens DSM 45100	bacteria>actinobacteria	rod-shaped morphology protein [Corynebacterium resistens DSM 45100]	336102657	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	ADH_short->?-><-SIG+TMs-MFS:EmrB<-PspA*||?-><-Thioredoxin:trxA	PspA_IM30	ADH_short ? SIG+TMs-MFS:EmrB PspA* ? Thioredoxin:trxA
