AccNum	GenContext	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Lineage	Species	Annotation	GI	Lineage.final	Lineage.final.old	Domain	DomArch.norep	GenContext.norep	DA.doms	GC.DA
ADY37002.1	SIG+Toast-rack*->	SIG+DUF2807	SIG+Toast-rack	SIG	304	Bacsa_2462	bacteria>bacteroidetes	Bacteroides salanitronis DSM 18170	putative lipoprotein [Bacteroides salanitronis DSM 18170]	324319111	bacteria>fcb group	bacteria>fcb group>bacteroidetes	bacteria	SIG+Toast-rack	SIG+Toast-rack*->	SIG Toast-rack	SIG+Toast-rack*
ALJ59672.1	SIG+Toast-rack*->	SIG+DUF2807	SIG+Toast-rack	SIG	296	BcellWH2_02433	bacteria>bacteroidetes	Bacteroides cellulosilyticus	hypothetical protein BcellWH2_02433 [Bacteroides cellulosilyticus]	939201499	bacteria>fcb group	bacteria>fcb group>bacteroidetes	bacteria	SIG+Toast-rack	SIG+Toast-rack*->	SIG Toast-rack	SIG+Toast-rack*
ADV42551.1	SIG+Toast-rack*->	SIG+DUF2807	SIG+Toast-rack	SIG	287	Bache_0526	bacteria>bacteroidetes	Bacteroides helcogenes P 36108	putative lipoprotein [Bacteroides helcogenes P 36-108]	319415440	bacteria>fcb group	bacteria>fcb group>bacteroidetes	bacteria	SIG+Toast-rack	SIG+Toast-rack*->	SIG Toast-rack	SIG+Toast-rack*
ABR38777.1	Dus-><-SIG+Toast-rack*	SIG+DUF2807	SIG+Toast-rack	SIG	283	BVU_1086	bacteria>bacteroidetes	Bacteroides vulgatus ATCC 8482	putative lipoprotein [Bacteroides vulgatus ATCC 8482]	149932079	bacteria>fcb group	bacteria>fcb group>bacteroidetes	bacteria	SIG+Toast-rack	Dus-><-SIG+Toast-rack*	SIG Toast-rack	Dus SIG+Toast-rack*
ALA73183.1	SIG+Toast-rack*-><-Dus	SIG+DUF2807	SIG+Toast-rack	SIG	283	IY41_06635	bacteria>bacteroidetes	Bacteroides dorei	hypothetical protein IY41_06635 [Bacteroides dorei]	922839143	bacteria>fcb group	bacteria>fcb group>bacteroidetes	bacteria	SIG+Toast-rack	SIG+Toast-rack*-><-Dus	SIG Toast-rack	SIG+Toast-rack* Dus
AND19063.1	SIG+Toast-rack*-><-Dus	SIG+DUF2807	SIG+Toast-rack	SIG	283	ABI39_06120	bacteria>bacteroidetes	Bacteroides dorei CL03T12C01	hypothetical protein ABI39_06120 [Bacteroides dorei CL03T12C01]	1026627857	bacteria>fcb group	bacteria>fcb group>bacteroidetes	bacteria	SIG+Toast-rack	SIG+Toast-rack*-><-Dus	SIG Toast-rack	SIG+Toast-rack* Dus
ALT79242.1	H-><-?<-SIG+Toast-rack*	SIG+DUF2807	SIG+Toast-rack	SIG	274	AT984_20650	bacteria>proteobacteria>betaproteobacteria	Paucibacter sp KCTC 42545	hypothetical protein AT984_20650 [Paucibacter sp. KCTC 42545]	968576364	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+Toast-rack	H-><-?<-SIG+Toast-rack*	SIG Toast-rack	H ? SIG+Toast-rack*
ABY36339.1	<-SIG+Toast-rack*	SIG+DUF2807	SIG+Toast-rack	SIG	260	Caur_3142	bacteria>chloroflexi	Chloroflexus aurantiacus J10fl	conserved hypothetical protein [Chloroflexus aurantiacus J-10-fl]	163669973	bacteria>chloroflexi	bacteria>chloroflexi	bacteria	SIG+Toast-rack	<-SIG+Toast-rack*	SIG Toast-rack	SIG+Toast-rack*
AMG73527.1	<-ADH_N+ADH_zinc_N<-?<-HI0933_like<-?<-GreA_GreB_N+GreA_GreB||SIG+Toast-rack*->SIG+Toast-rack*-><-?||?->?->?->?-><-SIG+Acetyltransf_1	SIG+DUF2807	SIG+Toast-rack	SIG	254	SGRAN_1134	bacteria>proteobacteria>alphaproteobacteria	Sphingopyxis granuli	Uncharacterized protein SGRAN_1134 [Sphingopyxis granuli]	991910317	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	SIG+Toast-rack	<-ADH_N+ADH_zinc_N<-?<-HI0933_like<-?<-GreA_GreB_N+GreA_GreB||SIG+Toast-rack*->SIG+Toast-rack*-><-?||?->?->?->?-><-SIG+Acetyltransf_1	SIG Toast-rack	ADH_N+ADH_zinc_N ? HI0933_like ? GreA_GreB_N+GreA_GreB SIG+Toast-rack* SIG+Toast-rack* ? ? ? ? ? SIG+Acetyltransf_1
AFD08756.1	S-AdoMet_synt_N+S-AdoMet_synt_M+S-AdoMet_synt_C->?->SIG+Acyltransferase->?->SIG+Toast-rack*-><-?<-?<-SIG+Peptidase_S15+PepX_C	SIG+DUF2807	SIG+Toast-rack	SIG	250	Solca_3756	bacteria>bacteroidetes	Solitalea canadensis DSM 3403	Protein of unknown function (DUF2807) [Solitalea canadensis DSM 3403]	379655700	bacteria>fcb group	bacteria>fcb group>bacteroidetes	bacteria	SIG+Toast-rack	S-AdoMet_synt_N+S-AdoMet_synt_M+S-AdoMet_synt_C->?->SIG+Acyltransferase->?->SIG+Toast-rack*-><-?<-?<-SIG+Peptidase_S15+PepX_C	SIG Toast-rack	S-AdoMet_synt_N+S-AdoMet_synt_M+S-AdoMet_synt_C ? SIG+Acyltransferase ? SIG+Toast-rack* ? ? SIG+Peptidase_S15+PepX_C
