AccNum	GenContext	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Lineage	Species	Annotation	GI	Lineage.final	Lineage.final.old	Domain	DomArch.norep	GenContext.norep	DA.doms	GC.DA
ADV61954.1	<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	800	Isop_1369	bacteria>planctomycetes	Isosphaera pallida ATCC 43644	type III secretion FHIPEP protein [Isosphaera pallida ATCC 43644]	319750194	bacteria>pvc group	bacteria>pvc group>planctomycetes	bacteria	SIG+TM(s)	<-SIG+APATPase<-SIG+TM(s)*	SIG TM(s)	 SIG+APATPase SIG+TM(s)*
AKP46881.1	CheC->REC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->REC->HPT+HISKIN+CheW->CheW->CheC->CheD->	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	762	BSM4216_1600	bacteria>firmicutes	Bacillus smithii	Flagellar biosynthesis protein FlhA [Bacillus smithii]	873409241	bacteria>firmicutes	bacteria>firmicutes	bacteria	SIG+TM(s)	CheC->REC->SIG+TM->SIG+TM(s)->SIG+TM->SIG+TM(s)->TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->REC->HPT+HISKIN+CheW->CheW->CheC->CheD->	SIG TM(s)	CheC REC SIG+TM SIG+TM(s) SIG+TM SIG+TM(s) TM(s) SIG+TM(s)* SIG+APATPase ParA-Soj-PloopNTPase REC HPT+HISKIN+CheW CheW CheC CheD 
BAM04443.1	<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	756	flhA	bacteria>planctomycetes	Phycisphaera mikurensis NBRC 102666	flagellar biosynthesis protein FlhA [Phycisphaera mikurensis NBRC 102666]	381387627	bacteria>pvc group	bacteria>pvc group>planctomycetes	bacteria	SIG+TM(s)	<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*	SIG TM(s)	 ParA-Soj-PloopNTPase SIG+APATPase SIG+TM(s)*
ABD81427.1	<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	755	Sde_2167	bacteria>proteobacteria>gammaproteobacteria	Saccharophagus degradans 240	flagellar biosynthesis protein FlhA [Saccharophagus degradans 2-40]	89951412	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	SIG+TM(s)	<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*	SIG TM(s)	 ParA-Soj-PloopNTPase SIG+APATPase SIG+TM(s)*
AMV40330.1	<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM	SIG+TM+TM+TM+TM	755	flhA	bacteria>planctomycetes	Planctomyces sp SHPL62	Flagellar biosynthesis protein FlhA [Planctomyces sp. SH-PL62]	1015458548	bacteria>pvc group	bacteria>pvc group>planctomycetes	bacteria	SIG+TM(s)	<-SIG+APATPase<-SIG+TM(s)*	SIG TM(s)	 SIG+APATPase SIG+TM(s)*
APW62124.1	SIG+TM+TM+TM+TM+TM*->SIG+APATPase->	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	752	flhA	bacteria>planctomycetes	Paludisphaera borealis	Flagellar biosynthesis protein FlhA [Paludisphaera borealis]	1133584833	bacteria>pvc group	bacteria>pvc group>planctomycetes	bacteria	SIG+TM(s)	SIG+TM(s)*->SIG+APATPase->	SIG TM(s)	SIG+TM(s)* SIG+APATPase 
ABI89783.1	<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM+TM	749	Bamb_4230	bacteria>proteobacteria>betaproteobacteria	Burkholderia ambifaria AMMD	type III secretion FHIPEP protein [Burkholderia ambifaria AMMD]	115284267	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	SIG TM(s)	 Cluster27_3clades SIG+TM SIG+TM(s)*
CAP55588.1	<-SIG+TM+TM+TM+TM+TM*	FHIPEP	TM+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM+TM	749	flhA	bacteria>proteobacteria>alphaproteobacteria	Gluconacetobacter diazotrophicus PA1 5	putative flagellar biosynthesis protein flhA [Gluconacetobacter diazotrophicus PA1 5]	161786006	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	TM(s)	<-SIG+TM(s)*	TM(s)	 SIG+TM(s)*
ABO58292.1	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	FHIPEP	TM+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM+TM	748	Bcep1808_5344	bacteria>proteobacteria>betaproteobacteria	Burkholderia vietnamiensis G4	type III secretion FHIPEP protein [Burkholderia vietnamiensis G4]	134137178	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	TM(s)	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	TM(s)	 SIG+TM ? ? ? Cluster27_3clades SIG+TM SIG+TM(s)*
APO50818.1	<-SIG+TM+TM+TM+TM+TM*	FHIPEP	TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	747	flhA	bacteria>proteobacteria>alphaproteobacteria	Bradyrhizobium diazoefficiens	flagellar biosynthesis protein FlhA [Bradyrhizobium diazoefficiens]	1120700213	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	TM(s)	<-SIG+TM(s)*	TM(s)	 SIG+TM(s)*
BAC47472.1	<-SIG+TM+TM+TM+TM+TM*	FHIPEP	TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	747	flhA	bacteria>proteobacteria>alphaproteobacteria	Bradyrhizobium diazoefficiens USDA 110	flagellar biosynthesis protein [Bradyrhizobium diazoefficiens USDA 110]	27350461	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	TM(s)	<-SIG+TM(s)*	TM(s)	 SIG+TM(s)*
ADP98069.1	<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM+DEAM	SIG+TM+TM+TM+TM+TM+TM	746	HP15_2305	bacteria>proteobacteria>gammaproteobacteria	Marinobacter adhaerens HP15	flagellar biosynthesis protein A [Marinobacter adhaerens HP15]	311695196	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	SIG+TM(s)+DEAM	<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*	SIG TM(s) DEAM	 SIGMA-HTH ParA-Soj-PloopNTPase SIG+APATPase SIG+TM(s)*
ABE64097.1	SIG+TM+TM+TM+TM+TM*->	FHIPEP	TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	745	Nham_3367	bacteria>proteobacteria>alphaproteobacteria	Nitrobacter hamburgensis X14	flagellar biosynthesis protein FlhA [Nitrobacter hamburgensis X14]	91801722	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	TM(s)	SIG+TM(s)*->	TM(s)	SIG+TM(s)* 
AQQ59107.1	<-SIG+TM+TM+TM+TM+TM*	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	745	flhA	bacteria>proteobacteria>epsilonproteobacteria	Helicobacter bilis	flagellar biosynthesis protein FlhA [Helicobacter bilis]	1147511774	bacteria>proteobacteria>epsilonproteobacteria	bacteria>proteobacteria>epsilonproteobacteria	bacteria	SIG+TM(s)	<-SIG+TM(s)*	SIG TM(s)	 SIG+TM(s)*
ABJ08189.1	SIG+TM+TM+TM+TM+TM*->	FHIPEP	TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	744	RPE_4264	bacteria>proteobacteria>alphaproteobacteria	Rhodopseudomonas palustris BisA53	flagellar biosynthesis protein FlhA [Rhodopseudomonas palustris BisA53]	115520205	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	TM(s)	SIG+TM(s)*->	TM(s)	SIG+TM(s)* 
ACR11636.1	SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH-><-?||REC->SFII-RAD3->HPT+HISKIN+CheW->	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	744	flhA	bacteria>proteobacteria>gammaproteobacteria	Teredinibacter turnerae T7901	flagellar biosynthesis protein FlhA [Teredinibacter turnerae T7901]	237684372	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	SIG+TM(s)	SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH-><-?||REC->SFII-RAD3->HPT+HISKIN+CheW->	SIG TM(s)	SIG+TM(s)* SIG+APATPase ParA-Soj-PloopNTPase SIGMA-HTH ? REC SFII-RAD3 HPT+HISKIN+CheW 
AJQ95969.1	<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	TM+FHIPEP	TM+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM+TM	741	YC6258_03933	bacteria>proteobacteria>gammaproteobacteria	Gynuella sunshinyii YC6258	flagellar biosynthesis pathway, component FlhA [Gynuella sunshinyii YC6258]	764037735	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	TM(s)	<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*	TM(s)	 SIGMA-HTH ParA-Soj-PloopNTPase SIG+APATPase SIG+TM(s)*
ACA94555.1	SIG+TM+TM+TM+TM+TM*->SIG+TM->Cluster27_3clades->?->?->?->SIG+TM->	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	738	Bcenmc03_5428	bacteria>proteobacteria>betaproteobacteria	Burkholderia cenocepacia MC03	type III secretion FHIPEP protein [Burkholderia cenocepacia MC0-3]	169819973	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	SIG+TM(s)*->SIG+TM->Cluster27_3clades->?->?->?->SIG+TM->	SIG TM(s)	SIG+TM(s)* SIG+TM Cluster27_3clades ? ? ? SIG+TM 
AOI61284.1	<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	737	WI26_23450	bacteria>proteobacteria>betaproteobacteria	Burkholderia diffusa	type III secretion protein [Burkholderia diffusa]	1061537658	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	SIG TM(s)	 Cluster27_3clades SIG+TM SIG+TM(s)*
