AccNum	GenContext.orig	arch.PFAM	DomArch.orig	arch.TMSIG	Length	GenName	Lineage	Species.orig	Annotation	GI	ClustName.orig	ClustID	Query	TaxID	Species.q	GCA_ID
AJH56079.1	PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->	TM+TM+TM+TM+TM	DUF1700-alpha-helical+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM	254	BF89_3965	bacteria>firmicutes	Bacillus anthracis	putative membrane protein [Bacillus anthracis]	753492157	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	000003.49	DUF1700-alpha-helical	NA	NA	GCA_000832725.1
AGL14606.1	PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->?->?->MoxR-AAA->	TM+TM+TM	DUF1700-alpha-helical+TM+TM+TM	TM+TM+TM	343	L083_1096	bacteria>actinobacteria	Actinoplanes sp. N902-109	hypothetical protein L083_1096 [Actinoplanes sp. N902-109]	492003286	DUF1700-alpha-helical+TM+TM+TM	000023.7	DUF1700-alpha-helical	NA	NA	GCA_000389965.1
AAW35295.1	<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	724	flhA	bacteria>proteobacteria>epsilonproteobacteria	Campylobacter jejuni RM1221	flagellar biosynthesis protein FlhA [Campylobacter jejuni RM1221]	57166516	SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM	NA	NA	GCA_000011865.1
AJK82865.1	<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	724	flhA	bacteria>proteobacteria>epsilonproteobacteria	Campylobacter jejuni subsp. jejuni	flagellar biosynthesis protein FlhA [Campylobacter jejuni subsp. jejuni]	756090652	SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM	NA	NA	GCA_000835345.1
AHC83764.1	<-REC<-HPT+HISKIN+CheW<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	709	flhA	bacteria>proteobacteria>gammaproteobacteria	Pseudomonas monteilii SB3078	flagellar biosynthesis protein FlhA [Pseudomonas monteilii SB3078]	567351567	SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM	NA	NA	GCA_000510285.1
AJI92027.1	<-SIG+TM<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	692	flhA	bacteria>proteobacteria>gammaproteobacteria	Yersinia pestis	flagellar biosynthesis protein FlhA [Yersinia pestis]	755294843	SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM	NA	NA	GCA_000834235.1
KUK13818.1	<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	688	XD52_0898	bacteria	bacterium 42_11	Flagellar biosynthesis protein FlhA [bacterium 42_11]	973036220	SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM	1635281	bacterium 42_11	GCA_001508835.1
AGK52227.1	SIG+TM*->?->LiaI-LiaF-TM+Toast-rack*->?->REC->	SIG	SIG	SIG	119	B1NLA3E_02215	bacteria>firmicutes	Bacillus sp. 1NLA3E	hypothetical protein B1NLA3E_02215 [Bacillus sp. 1NLA3E]	484575429	SIG+TM	000003.96	LiaI-LiaF-TM	NA	NA	GCA_000242895.3
AIQ14451.1	<-PspC<-?<-LiaI-LiaF-TM*	SIG+TM	LiaI-LiaF-TM	SIG+TM	100	PDUR_23000	bacteria>firmicutes	Paenibacillus durus	hypothetical protein PDUR_23000 [Paenibacillus durus]	686570395	LiaI-LiaF-TM	000007.32	LiaI-LiaF-TM	NA	NA	GCA_000756615.1
XP_001617790.1	?*->	FHIPEP	TM+TM+TM	TM+TM+TM	383	NEMVEDRAFT_v1g225790	eukaryota>metazoa>cnidaria	Nematostella vectensis	hypothetical protein NEMVEDRAFT_v1g225790, partial [Nematostella vectensis]	156311472	NA	000060.1;	LiaI-LiaF-TM	45351	starlet sea anemone	GCF_000209225.1
XP_011670778.1	<-?*	SIG+TM+CD20	LiaI-LiaF-TM+TM+TM	SIG+TM+TM+TM+TM+TM	338	LOC105441403	eukaryota>metazoa>echinodermata	Strongylocentrotus purpuratus	PREDICTED: uncharacterized protein LOC105441403 isoform X1 [Strongylocentrotus purpuratus]	780064183	NA	000060.1;	LiaI-LiaF-TM	7668	purple sea urchin	GCF_000002235.4
NP_564846.1	PspA*->	SIG+PspA_IM30	SIG+PspA	SIG	330	plastid,transcriptionally,active,4,T8F5.2,T8F5_2,VESICLE-INDUCING,PROTEIN,IN,PLASTIDS,1,VIPP1	eukaryota>viridiplantae	Arabidopsis thaliana	plastid transcriptionally active 4 [Arabidopsis thaliana]	18408237	PspA	000001.1454	pspa	3702	thale cress	GCF_000001735.4
