AccNum	ClustName	GenContext.orig	DomArch.Pfam	DomArch.orig	Length	GeneName	Lineage	Species.orig	GCA_ID
ANS86839.1	ASCH	<-ASCH*	ASCH	ASCH	155	VSVS12_03130	bacteria>proteobacteria>gammaproteobacteria	Vibrio scophthalmi	GCA_001685465.1
ANU39094.1	ASCH	ASCH*->	ASCH	ASCH	155	VSVS05_04058	bacteria>proteobacteria>gammaproteobacteria	Vibrio scophthalmi	GCA_001687805.1
OGI00124.1	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM*->	FHIPEP	SIG+TM+TM+TM+TM+TM	373	A2039_01795	bacteria	Candidatus Melainabacteria bacterium GWA2_34_9	GCA_001784535.1
AFS19502.1	SIG+TM+TM+TM+TM+TM	<-FHIPEP<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	FHIPEP+TM	SIG+TM+TM+TM+TM	341	B595_0534	bacteria>chlamydiae	Chlamydia psittaci 84/55	GCA_000298375.2
KPK32934.1	SIG+TM+TM+TM+TM+TM	<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-?<-CheC<-CheC	FHIPEP	SIG+TM+TM+TM+TM	272	flhA	bacteria>nitrospirae	Nitrospira bacterium SG8_35_1	GCA_001303305.1
CRI71533.1	SIG+TM+TM+TM+TM+TM	SIG+SAF->FlgM-><-SRP54<-FHIPEP<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	FHIPEP	SIG+TM+TM+TM+TM+TM+TM	437	flhA_2	bacteria>proteobacteria>betaproteobacteria	Bordetella pertussis	GCA_001013565.1
CAP42451.1	SIG+TM+TM+TM+TM+TM	SIG+TarH+TM+HAMP+MA->CheRN-Alpha+CheR-Methylase->REC->REC->CheZ->?->TM+TM+TM+TM->PSE->SIG+TM+TM+TM+TM+TM*-><-HTH_21+rve+rve_2<-HIN-HTH||SIG+LiaI-LiaF-TM->SRP54-><-FlgN<-FlgM||HIN-HTH->	FHIPEP	SIG+TM+TM+TM+TM	279	flhA1	bacteria>proteobacteria>betaproteobacteria	Bordetella petrii	GCA_000067205.1
AGK17897.1	SIG+TM+TM+TM+TM+TM	<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	FHIPEP	SIG+TM+TM+TM+TM+TM+TM	445	flhA	bacteria>proteobacteria>gammaproteobacteria	Azotobacter vinelandii CA6	GCA_000380365.1
AMX04674.1	SIG+TM+TM+TM+TM+TM	TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->FHIPEP->SIG+FlhE->	FHIPEP	SIG+TM+TM+TM+TM+TM	420	flhA	bacteria>proteobacteria>gammaproteobacteria	Enterobacter asburiae	GCA_001617645.1
AHA69199.1	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM*->FHIPEP->	FHIPEP	SIG+TM+TM+TM+TM+TM	305	Asd1617_06372	bacteria>proteobacteria>gammaproteobacteria	Shigella dysenteriae 1617	GCA_000497505.1
ALZ55212.1	SIG+TM+TM+TM+TM+TM	TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	FHIPEP	SIG+TM+TM+TM+TM+TM+TM	358	FORC11_1281	bacteria>proteobacteria>gammaproteobacteria	Shigella sonnei	GCA_001518855.1
AHM76147.1	SIG+TM+TM+TM+TM+TM	<-SIG+TM<-SIG+TM+TM+TM<-?<-?<-Cluster31_2clades<-ATP-synt_ab<-FHIPEP<-SIG+TM+TM+TM+TM+TM*<-Cluster57_2clades<-?<-?<-?<-SIG+TM	FHIPEP	SIG+TM+TM+TM+TM+TM+TM	377	ssaV	bacteria>proteobacteria>gammaproteobacteria	Yersinia enterocolitica LC20	-
AJI90650.1	SIG+TM+TM+TM+TM+TM	CheC->CheC->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->FHIPEP->	FHIPEP	SIG+TM+TM+TM+TM+TM	433	CH59_1158	bacteria>proteobacteria>gammaproteobacteria	Yersinia pestis	GCA_000834235.1
ABG13132.1	SIG+TM+TM+TM+TM+TM	TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->FHIPEP->SIG+FlhE->	FHIPEP	SIG+TM+TM+TM+TM+TM	440	YPA_1165	bacteria>proteobacteria>gammaproteobacteria	Yersinia pestis Antiqua	GCA_000013825.1
AMG31616.1	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM*->TM+TM+TM+TM->	FHIPEP	SIG+TM+TM+TM+TM+TM+TM	634	AL542_15605	bacteria>proteobacteria>gammaproteobacteria	Grimontia hollisae	GCA_001558255.1
CAQ85538.1	SIG+TM+TM+TM+TM+TM+TM	<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM+TM*	FHIPEP	SIG+TM+TM+TM+TM+TM+TM	629	PAU_03450	bacteria>proteobacteria>gammaproteobacteria	Photorhabdus asymbiotica	GCA_000196475.1
AEH12019.1	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM*->TM+TM+TM+TM->	FHIPEP+TM	SIG+TM+TM+TM+TM+TM+TM+CCDC81	627	Sbal117_0216	bacteria>proteobacteria>gammaproteobacteria	Shewanella baltica OS117	GCA_000215895.1
AQS37652.1	SIG+TM+TM+TM+TM+TM+TM	<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM+TM*	FHIPEP	SIG+TM+TM+TM+TM+TM+TM+CCDC81	627	Sps_02498	bacteria>proteobacteria>gammaproteobacteria	Shewanella psychrophila	GCA_002005305.1
AMF96289.1	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM*->TM+TM+TM+TM->	FHIPEP	SIG+TM+TM+TM+TM+TM+TM	629	AL538_00400	bacteria>proteobacteria>gammaproteobacteria	Vibrio harveyi	GCA_001558435.1
ANB97481.1	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM*->TM+TM+TM+TM->	FHIPEP	SIG+TM+TM+TM+TM+TM+TM	627	FORC14_1160	bacteria>proteobacteria>gammaproteobacteria	Vibrio parahaemolyticus	GCA_001636035.1
AGQ93863.1	SIG+TM+TM+TM+TM+TM+TM	<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM+TM*	FHIPEP	SIG+TM+TM+TM+TM+TM+TM	628	M634_24760	bacteria>proteobacteria>gammaproteobacteria	Vibrio parahaemolyticus O1:Kuk str. FDA_R31	GCA_000430405.1
BAC62698.1	SIG+TM+TM+TM+TM+TM+TM	<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM+TM*	FHIPEP	SIG+TM+TM+TM+TM+TM+TM	627	VPA1355	bacteria>proteobacteria>gammaproteobacteria	Vibrio parahaemolyticus RIMD 2210633	GCA_000196095.1
AEP34871.1	SIG+TM+TM+TM+TM+TM+TM+AMIN	SIG+TM+TM+TM+TM+TM+TM+AMIN*->SIGMA-HTH->	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM+AMIN	605	CTO_0065	bacteria>chlamydiae	Chlamydia trachomatis A2497	GCA_000226605.1
