AccNum	GenContext.orig	arch.PFAM	DomArch.orig	arch.TMSIG	Length	GenName	Lineage	Species.orig	Annotation	GI	ClustName.orig	ClustID	Query	TaxID	Species.q	GCA_ID
Smed1000013124	-	Snf7	Snf7	-	239	Smed1000013124	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	>Smed1000013124	NA	Snf7	000002.516	pspa	NA	NA	-
Crev1000005838	-	Snf7	Snf7	LPD14	233	Crev1000005838	eukaryota>fungi>kickxellomycotina	Coemansia reversa	>Crev1000005838	NA	Snf7	000002.516	pspa	NA	NA	-
Pram1000010618	-	Snf7	Snf7	-	233	Pram1000010618	eukaryota>stramenopiles	Phytophthora ramorum	>Pram1000010618	NA	Snf7	000002.516	pspa	NA	NA	-
Smed1000006740	-	Snf7	Snf7	-	232	Smed1000006740	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	>Smed1000006740	NA	Snf7	000002.516	pspa	NA	NA	-
Bcir1000001833	-	Snf7	Snf7	-	225	Bcir1000001833	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000001833	NA	Snf7	000002.516	pspa	NA	NA	-
Chet1000000855	-	Snf7	Snf7	-	224	Chet1000000855	eukaryota>fungi>ascomycota	Cochliobolus heterostrophus	>Chet1000000855	NA	Snf7	000002.516	pspa	NA	NA	-
Smar1000011654	-	Snf7	Snf7	-	224	Smar1000011654	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000011654	NA	Snf7	000002.516	pspa	NA	NA	-
Lhya1000005072	-	Snf7	Snf7	-	223	Lhya1000005072	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	>Lhya1000005072	NA	Snf7	000002.516	pspa	NA	NA	-
Lhya1000010591	-	Snf7	Snf7	-	223	Lhya1000010591	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	>Lhya1000010591	NA	Snf7	000002.516	pspa	NA	NA	-
Smar1000014167	-	Snf7	Snf7	LPD34	223	Smar1000014167	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000014167	NA	Snf7	000002.516	pspa	NA	NA	-
Caps1000008300	-	Snf7	Snf7	-	222	Caps1000008300	eukaryota>metazoa>annelida	Capitella spI	>Caps1000008300	NA	Snf7	000002.516	pspa	NA	NA	-
Bcir1000013302	-	Snf7	Snf7	-	221	Bcir1000013302	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000013302	NA	Snf7	000002.516	pspa	NA	NA	-
Crev1000000673	-	Snf7	Snf7	-	221	Crev1000000673	eukaryota>fungi>kickxellomycotina	Coemansia reversa	>Crev1000000673	NA	Snf7	000002.516	pspa	NA	NA	-
Uram1000008596	-	Snf7	Snf7	-	221	Uram1000008596	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000008596	NA	Snf7	000002.516	pspa	NA	NA	-
Uram1000009085	-	Snf7	Snf7	-	220	Uram1000009085	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000009085	NA	Snf7	000002.516	pspa	NA	NA	-
Caps1000013612	-	Snf7	Snf7	-	218	Caps1000013612	eukaryota>metazoa>annelida	Capitella spI	>Caps1000013612	NA	Snf7	000002.516	pspa	NA	NA	-
Caps1000009008	-	Snf7	Snf7	-	213	Caps1000009008	eukaryota>metazoa>annelida	Capitella spI	>Caps1000009008	NA	Snf7	000002.516	pspa	NA	NA	-
Smed1000003202	-	Snf7	Snf7	-	210	Smed1000003202	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	>Smed1000003202	NA	Snf7	000002.516	pspa	NA	NA	-
Bnat1000015196	-	Snf7	Snf7	-	209	Bnat1000015196	eukaryota>rhizaria	Bigelowiella natans	>Bnat1000015196	NA	Snf7	000002.516	pspa	NA	NA	-
Smar1000008259	-	Snf7	Snf7	Tox-HTH	204	Smar1000008259	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000008259	NA	Snf7	000002.516	pspa	NA	NA	-
Uram1000000498	-	Snf7	Snf7	-	183	Uram1000000498	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000000498	NA	Snf7	000002.516	pspa	NA	NA	-
Pisp1000001682	-	Snf7	Snf7	SIG	149	Pisp1000001682	eukaryota>fungi>neocallimastigomycota	Piromyces sp	>Pisp1000001682	NA	Snf7	000002.516	pspa	NA	NA	-
Pisp1000009625	-	Snf7	Snf7	SIG	128	Pisp1000009625	eukaryota>fungi>neocallimastigomycota	Piromyces sp	>Pisp1000009625	NA	Snf7	000002.516	pspa	NA	NA	-
Pram1000011108	-	SIG+Snf7	Snf7	SIG	256	Pram1000011108	eukaryota>stramenopiles	Phytophthora ramorum	>Pram1000011108	NA	Snf7	000003.472	pspa	NA	NA	-
Crev1000002970	-	Snf7	Snf7	-	253	Crev1000002970	eukaryota>fungi>kickxellomycotina	Coemansia reversa	>Crev1000002970	NA	Snf7	000003.472	pspa	NA	NA	-
Bnat1000019199	-	SIG+Snf7	Snf7	SIG	239	Bnat1000019199	eukaryota>rhizaria	Bigelowiella natans	>Bnat1000019199	NA	Snf7	000003.472	pspa	NA	NA	-
Lhya1000007333	-	SIG+Snf7	Snf7	SIG	231	Lhya1000007333	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	>Lhya1000007333	NA	Snf7	000003.472	pspa	NA	NA	-
Pram1000002576	-	Snf7	Snf7	-	229	Pram1000002576	eukaryota>stramenopiles	Phytophthora ramorum	>Pram1000002576	NA	Snf7	000003.472	pspa	NA	NA	-
Chet1000002205	-	Snf7	Snf7	-	226	Chet1000002205	eukaryota>fungi>ascomycota	Cochliobolus heterostrophus	>Chet1000002205	NA	Snf7	000003.472	pspa	NA	NA	-
Bnat1000013158	-	SIG+Snf7	Snf7	SIG	225	Bnat1000013158	eukaryota>rhizaria	Bigelowiella natans	>Bnat1000013158	NA	Snf7	000003.472	pspa	NA	NA	-
Bcir1000002159	-	Snf7	Snf7	-	224	Bcir1000002159	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000002159	NA	Snf7	000003.472	pspa	NA	NA	-
Smar1000005261	-	Snf7	Snf7	ParB	223	Smar1000005261	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000005261	NA	Snf7	000003.472	pspa	NA	NA	-
Smar1000000527	-	Snf7	Snf7	-	222	Smar1000000527	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000000527	NA	Snf7	000003.472	pspa	NA	NA	-
Smed1000025307	-	Snf7	Snf7	ParB	222	Smed1000025307	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	>Smed1000025307	NA	Snf7	000003.472	pspa	NA	NA	-
Uram1000005364	-	SIG+Snf7	Snf7	SIG	222	Uram1000005364	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000005364	NA	Snf7	000003.472	pspa	NA	NA	-
Caps1000007247	-	Snf7	Snf7	ParB	220	Caps1000007247	eukaryota>metazoa>annelida	Capitella spI	>Caps1000007247	NA	Snf7	000003.472	pspa	NA	NA	-
Caps1000013077	-	Snf7	Snf7	-	219	Caps1000013077	eukaryota>metazoa>annelida	Capitella spI	>Caps1000013077	NA	Snf7	000003.472	pspa	NA	NA	-
Chet1000008429	-	Snf7	Snf7	SIG	215	Chet1000008429	eukaryota>fungi>ascomycota	Cochliobolus heterostrophus	>Chet1000008429	NA	Snf7	000003.472	pspa	NA	NA	-
Lhya1000001166	-	SIG+Snf7	Snf7	SIG	215	Lhya1000001166	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	>Lhya1000001166	NA	Snf7	000003.472	pspa	NA	NA	-
Uram1000004439	-	SIG+Snf7	Snf7	SIG	215	Uram1000004439	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000004439	NA	Snf7	000003.472	pspa	NA	NA	-
Bcir1000010838	-	SIG+Snf7	Snf7	SIG	210	Bcir1000010838	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000010838	NA	Snf7	000003.472	pspa	NA	NA	-
Smed1000001895	-	Snf7	Snf7	-	204	Smed1000001895	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	>Smed1000001895	NA	Snf7	000003.472	pspa	NA	NA	-
Crev1000006838	-	Snf7	Snf7	-	167	Crev1000006838	eukaryota>fungi>kickxellomycotina	Coemansia reversa	>Crev1000006838	NA	Snf7	000003.472	pspa	NA	NA	-
Pisp1000002826	-	Snf7	Snf7	-	144	Pisp1000002826	eukaryota>fungi>neocallimastigomycota	Piromyces sp	>Pisp1000002826	NA	Snf7	000003.472	pspa	NA	NA	-
Crev1000002310	-	Snf7	Snf7	-	206	Crev1000002310	eukaryota>fungi>kickxellomycotina	Coemansia reversa	>Crev1000002310	NA	Snf7	000005.261	pspa	NA	NA	-
Uram1000009086	-	SIG+Snf7	Snf7	SIG	204	Uram1000009086	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000009086	NA	Snf7	000005.261	pspa	NA	NA	-
Bcir1000011412	-	Snf7	Snf7	-	203	Bcir1000011412	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000011412	NA	Snf7	000005.261	pspa	NA	NA	-
Bnat1000016213	-	Snf7	Snf7	-	203	Bnat1000016213	eukaryota>rhizaria	Bigelowiella natans	>Bnat1000016213	NA	Snf7	000005.261	pspa	NA	NA	-
Caps1000001778	-	Snf7	Snf7	-	203	Caps1000001778	eukaryota>metazoa>annelida	Capitella spI	>Caps1000001778	NA	Snf7	000005.261	pspa	NA	NA	-
Caps1000011097	-	Snf7	Snf7	-	203	Caps1000011097	eukaryota>metazoa>annelida	Capitella spI	>Caps1000011097	NA	Snf7	000005.261	pspa	NA	NA	-
Bcir1000000255	-	Snf7	Snf7	-	201	Bcir1000000255	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000000255	NA	Snf7	000005.261	pspa	NA	NA	-
Lhya1000007154	-	Snf7	Snf7	-	201	Lhya1000007154	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	>Lhya1000007154	NA	Snf7	000005.261	pspa	NA	NA	-
Pram1000013135	-	Snf7	Snf7	-	201	Pram1000013135	eukaryota>stramenopiles	Phytophthora ramorum	>Pram1000013135	NA	Snf7	000005.261	pspa	NA	NA	-
Smar1000004749	-	Snf7	Snf7	-	199	Smar1000004749	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000004749	NA	Snf7	000005.261	pspa	NA	NA	-
Smar1000008107	-	Snf7	Snf7	-	199	Smar1000008107	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000008107	NA	Snf7	000005.261	pspa	NA	NA	-
Chet1000003320	-	Snf7	Snf7	-	198	Chet1000003320	eukaryota>fungi>ascomycota	Cochliobolus heterostrophus	>Chet1000003320	NA	Snf7	000005.261	pspa	NA	NA	-
Smed1000026970	-	Snf7	Snf7	-	198	Smed1000026970	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	>Smed1000026970	NA	Snf7	000005.261	pspa	NA	NA	-
Smar1000009347	-	Snf7	Snf7	-	184	Smar1000009347	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000009347	NA	Snf7	000005.261	pspa	NA	NA	-
Pram1000000796	-	SIG+Snf7	SIG+Snf7	SIG	236	Pram1000000796	eukaryota>stramenopiles	Phytophthora ramorum	>Pram1000000796	NA	Snf7	000008.183	pspa	NA	NA	-
Smed1000021775	-	SIG+Snf7	SIG+Snf7	SIG	231	Smed1000021775	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	>Smed1000021775	NA	Snf7	000008.183	pspa	NA	NA	-
Caps1000018732	-	Snf7	Snf7	-	218	Caps1000018732	eukaryota>metazoa>annelida	Capitella spI	>Caps1000018732	NA	Snf7	000008.183	pspa	NA	NA	-
Bcir1000016255	-	Snf7	Snf7	-	216	Bcir1000016255	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000016255	NA	Snf7	000008.183	pspa	NA	NA	-
Crev1000000528	-	SIG+Snf7	Snf7	SIG	216	Crev1000000528	eukaryota>fungi>kickxellomycotina	Coemansia reversa	>Crev1000000528	NA	Snf7	000008.183	pspa	NA	NA	-
Lhya1000009341	-	SIG+Snf7	Snf7	SIG	215	Lhya1000009341	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	>Lhya1000009341	NA	Snf7	000008.183	pspa	NA	NA	-
Chet1000001560	-	Snf7	Snf7	-	214	Chet1000001560	eukaryota>fungi>ascomycota	Cochliobolus heterostrophus	>Chet1000001560	NA	Snf7	000008.183	pspa	NA	NA	-
Smar1000006823	-	Snf7	Snf7	-	210	Smar1000006823	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000006823	NA	Snf7	000008.183	pspa	NA	NA	-
Pisp1000003886	-	SIG+Snf7	SIG+Snf7	SIG	194	Pisp1000003886	eukaryota>fungi>neocallimastigomycota	Piromyces sp	>Pisp1000003886	NA	Snf7	000008.183	pspa	NA	NA	-
Bnat1000017100	-	Snf7	Snf7	-	152	Bnat1000017100	eukaryota>rhizaria	Bigelowiella natans	>Bnat1000017100	NA	Snf7	000008.183	pspa	NA	NA	-
Uram1000009541	-	Snf7	Snf7	-	146	Uram1000009541	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000009541	NA	Snf7	000008.183	pspa	NA	NA	-
Smar1000007025	-	Snf7	Snf7	-	435	Smar1000007025	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000007025	NA	Snf7	000021.18	pspa	NA	NA	-
Chet1000001694	-	Snf7+Atrophin-1	Snf7	-	524	Chet1000001694	eukaryota>fungi>ascomycota	Cochliobolus heterostrophus	>Chet1000001694	NA	Snf7	000027.11	pspa	NA	NA	-
Uram1000003873	-	Snf7	Snf7	-	467	Uram1000003873	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	>Uram1000003873	NA	Snf7	000047.6	pspa	NA	NA	-
Bcir1000007249	-	SIG+Snf7	SIG+Snf7	SIG	425	Bcir1000007249	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000007249	NA	Snf7	000047.6	pspa	NA	NA	-
Bcir1000003327	-	Snf7	Snf7	-	296	Bcir1000003327	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000003327	NA	Snf7	000097.3	pspa	NA	NA	-
Lhya1000002521	-	Snf7	Snf7	-	290	Lhya1000002521	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	>Lhya1000002521	NA	Snf7	000097.3	pspa	NA	NA	-
Chet1000008504	-	Uso1_p115_head+CALCOCO1+Uso1_p115_C	EP1	-	1037	Chet1000008504	eukaryota>fungi>ascomycota	Cochliobolus heterostrophus	>Chet1000008504	NA	EP1	000139.2	pspa	NA	NA	-
Smed1000004306	-	-	Snf7	-	93	Smed1000004306	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	>Smed1000004306	NA	Snf7	000201.2	pspa	NA	NA	-
Bcir1000000964	-	Kinesin+CCDC158	Snf7	-	1007	Bcir1000000964	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000000964	NA	Snf7	000202.1	pspa	NA	NA	-
Bcir1000004713	-	Snf7	Snf7	-	479	Bcir1000004713	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000004713	NA	Snf7	000202.1	pspa	NA	NA	-
Caps1000024394	-	Snf7	Snf7	-	455	Caps1000024394	eukaryota>metazoa>annelida	Capitella spI	>Caps1000024394	NA	Snf7	000202.1	pspa	NA	NA	-
Bcir1000003615	-	Snf7	Snf7	-	354	Bcir1000003615	eukaryota>fungi>mucoromycotina	Backusella circina	>Bcir1000003615	NA	Snf7	000202.1	pspa	NA	NA	-
Smed1000024050	-	Snf7	Snf7	-	272	Smed1000024050	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	>Smed1000024050	NA	Snf7	000202.1	pspa	NA	NA	-
Crev1000003711	-	Snf7	Snf7	-	240	Crev1000003711	eukaryota>fungi>kickxellomycotina	Coemansia reversa	>Crev1000003711	NA	Snf7	000202.1	pspa	NA	NA	-
Pisp1000009679	-	Snf7	Snf7	SIG	208	Pisp1000009679	eukaryota>fungi>neocallimastigomycota	Piromyces sp	>Pisp1000009679	NA	Snf7	000202.1	pspa	NA	NA	-
Smed1000006266	-	Snf7	Snf7	ParB	158	Smed1000006266	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	>Smed1000006266	NA	Snf7	000202.1	pspa	NA	NA	-
Bnat1000009644	-	PspA_IM30	PspA	-	157	Bnat1000009644	eukaryota>rhizaria	Bigelowiella natans	>Bnat1000009644	NA	PspA	000203.1	pspa	NA	NA	-
Pram1000007912	-	NupH_GANP+SAC3_GANP+TPH	EP1	-	1281	Pram1000007912	eukaryota>stramenopiles	Phytophthora ramorum	>Pram1000007912	NA	EP1	000204.1	pspa	NA	NA	-
Bnat1000002812	-	DUF4200+DUF2353	PDZ+EP1	-	1026	Bnat1000002812	eukaryota>rhizaria	Bigelowiella natans	>Bnat1000002812	NA	PDZ+EP1	000272.1	pspa	NA	NA	-
Caps1000014654	-	EF-hand_4+MISS+DUF737+ERM+SH3_9+SH3_1+SH3_1+SH3_9	EP1+SH3+SH3+SH3+SH3	-	1159	Caps1000014654	eukaryota>metazoa>annelida	Capitella spI	>Caps1000014654	NA	EP1+SH3+SH3+SH3+SH3	000291.1	pspa	NA	NA	-
Caps1000018428	-	VSP+Ephrin_rec_like+TM+TM+SMC_N	TM+TM+EP1+Nop52+EP1	TM+TM	9363	Caps1000018428	eukaryota>metazoa>annelida	Capitella spI	>Caps1000018428	NA	TM+TM+EP1+Nop52+EP1	000345.1	pspa	NA	NA	-
Bnat1000002828	-	SIG+Granulin+Herpes_BLLF1+HCR+SMC_N	SIG+DUF572+LINK	SIG	1990	Bnat1000002828	eukaryota>rhizaria	Bigelowiella natans	>Bnat1000002828	NA	SIG+DUF572+LINK	000421.1	pspa	NA	NA	-
Bnat1000015234	-	VSP+VSP+Ephrin_rec_like+Ephrin_rec_like+Ephrin_rec_like+Cast+Myosin_tail_1+ARGLU	EP1+EP1+SPX+PspA+EP1+PspA	-	5799	Bnat1000015234	eukaryota>rhizaria	Bigelowiella natans	>Bnat1000015234	NA	EP1+EP1+SPX+PspA+EP1+PspA	000458.1	pspa	NA	NA	-
Bnat1000000161	-	TPH	BetaPropeller+BetaPropeller+EP1	-	1077	Bnat1000000161	eukaryota>rhizaria	Bigelowiella natans	>Bnat1000000161	NA	BetaPropeller+BetaPropeller+EP1	000467.1	pspa	NA	NA	-
Pram1000000683	-	SIG+Cupin_8+CCDC158	JOR+PspA	SIG	959	Pram1000000683	eukaryota>stramenopiles	Phytophthora ramorum	>Pram1000000683	NA	JOR+PspA	000473.1	pspa	NA	NA	-
Smar1000011578	-	Myosin_N+Myosin_head+Myosin_tail_1	SidE+PspA+PspA	-	2008	Smar1000011578	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000011578	NA	SIGMA-HTH+PspA	000486.373	pspa	NA	NA	-
Smar1000001431	-	CCDC158+SAM_1+SAM_1+SAM_2	SidE+SAM+SAM+SAM	-	1090	Smar1000001431	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	>Smar1000001431	NA	EP1+SAM+SAM+SAM	000487.313	pspa	NA	NA	-
ALN16120.1	<-DUF3046*	DUF3046	-	-	64	ASQ49_13580	bacteria>actinobacteria	Acidipropionibacterium acidipropionici	GCA_001441165.1	NA	DUF3046	000001.410	pspn	1748	Acidipropionibacterium acidipropionici	GCA_001441165.1
AMS04683.1	<-DUF3046*	DUF3046	-	-	64	AXH35_03460	bacteria>actinobacteria	Acidipropionibacterium acidipropionici	GCA_001602115.1	NA	DUF3046	000001.410	pspn	1748	Acidipropionibacterium acidipropionici	GCA_001602115.1
AOZ46173.1	<-DUF3046*	DUF3046	-	-	64	A8L58_04925	bacteria>actinobacteria	Acidipropionibacterium acidipropionici	GCA_001855335.1	NA	DUF3046	000001.410	pspn	1748	Acidipropionibacterium acidipropionici	GCA_001855335.1
APZ08131.1	DUF3046*->	DUF3046	-	-	64	BWX38_01300	bacteria>actinobacteria	Acidipropionibacterium acidipropionici	GCA_001975205.1	NA	DUF3046	000001.410	pspn	1748	Acidipropionibacterium acidipropionici	GCA_001975205.1
AFV89337.1	DUF3046*->	DUF3046	-	-	64	PACID_15240	bacteria>actinobacteria	Acidipropionibacterium acidipropionici ATCC 4875	GCA_000310065.1	NA	DUF3046	000001.410	pspn	1171373	Acidipropionibacterium acidipropionici ATCC 4875	GCA_000310065.1
ABK53265.1	<-DUF3046*	DUF3046	-	-	64	Acel_1493	bacteria>actinobacteria	Acidothermus cellulolyticus 11B	GCA_000015025.1	NA	DUF3046	000001.410	pspn	351607	Acidothermus cellulolyticus 11B	GCA_000015025.1
AOS65088.1	DUF3046*->	DUF3046	-	-	64	TL08_21505	bacteria>actinobacteria	Actinoalloteichus hymeniacidonis	GCA_001747425.1	NA	DUF3046	000001.410	pspn	340345	Actinoalloteichus hymeniacidonis	GCA_001747425.1
APU16938.1	DUF3046*->	DUF3046	-	-	64	UA74_24620	bacteria>actinobacteria	Actinoalloteichus sp. ADI127-7	GCA_001941625.1	NA	DUF3046	000001.410	pspn	1612552	Actinoalloteichus sp. ADI127-7	GCA_001941625.1
APU23018.1	DUF3046*->	DUF3046	-	-	64	UA75_25200	bacteria>actinobacteria	Actinoalloteichus sp. GBA129-24	GCA_001941645.1	NA	DUF3046	000001.410	pspn	1612551	Actinoalloteichus sp. GBA129-24	GCA_001941645.1
AMD98075.1	<-DUF3046*	DUF3046	-	-	72	AXE84_00375	bacteria>actinobacteria	Actinomyces oris	GCA_001553935.1	NA	DUF3046	000001.410	pspn	544580	Actinomyces oris	GCA_001553935.1
AMD88283.1	<-DUF3046*	DUF3046	-	-	74	AXF14_12750	bacteria>actinobacteria	Actinomyces radicidentis	GCA_001553565.1	NA	DUF3046	000001.410	pspn	111015	Actinomyces radicidentis	GCA_001553565.1
AOZ72869.1	<-DUF3046*	DUF3046	-	-	75	BK816_05810	bacteria>actinobacteria	Actinomyces sp. VUL4_3	GCA_001856685.1	NA	DUF3046	000001.410	pspn	1912795	Actinomyces sp. VUL4_3	GCA_001856685.1
ALC98911.1	DUF3046*->	DUF3046	-	-	77	AM609_04350	bacteria>actinobacteria	Actinomyces sp. oral taxon 414	GCA_001278845.1	NA	DUF3046	000001.410	pspn	712122	Actinomyces sp. oral taxon 414	GCA_001278845.1
AGZ45388.1	<-DUF3046*	DUF3046	-	-	66	AFR_35660	bacteria>actinobacteria	Actinoplanes friuliensis DSM 7358	GCA_000494755.1	NA	DUF3046	000001.410	pspn	1246995	Actinoplanes friuliensis DSM 7358	GCA_000494755.1
AGL20270.1	<-DUF3046*	DUF3046	-	EAD1	64	L083_6760	bacteria>actinobacteria	Actinoplanes sp. N902-109	GCA_000389965.1	NA	DUF3046	000001.410	pspn	649831	Actinoplanes sp. N902-109	GCA_000389965.1
AEV88053.1	<-DUF3046*	DUF3046	-	-	66	ACPL_7173	bacteria>actinobacteria	Actinoplanes sp. SE50/110	GCA_000237145.1	NA	DUF3046	000001.410	pspn	134676	Actinoplanes sp. SE50/110	GCA_000237145.1
ACU35370.1	DUF3046*->	DUF3046	NACHT	-	64	Amir_1418	bacteria>actinobacteria	Actinosynnema mirum DSM 43827	GCA_000023245.1	NA	DUF3046	000001.410	pspn	446462	Actinosynnema mirum DSM 43827	GCA_000023245.1
AIE82051.1	DUF3046*->	DUF3046	-	-	78	FB03_00795	bacteria>actinobacteria	Actinotignum schaalii	GCA_000724605.1	NA	DUF3046	000001.410	pspn	59505	Actinotignum schaalii	GCA_000724605.1
ALX04600.1	DUF3046*->	DUF3046	-	-	64	AERYTH_07780	bacteria>actinobacteria	Aeromicrobium erythreum	GCA_001509405.1	NA	DUF3046	000001.410	pspn	2041	Aeromicrobium erythreum	GCA_001509405.1
ANJ27434.1	<-DUF3046*	DUF3046	-	-	76	ATC03_12665	bacteria>actinobacteria	Agromyces aureus	GCA_001660485.1	NA	DUF3046	000001.410	pspn	453304	Agromyces aureus	GCA_001660485.1
CRK55743.1	DUF3046*->	DUF3046	SIG	SIG	64	recA	bacteria>actinobacteria	Alloactinosynnema sp. L-07	GCA_900070365.1	NA	DUF3046	000001.410	pspn	1653480	Alloactinosynnema sp. L-07	GCA_900070365.1
AIG78287.1	<-DUF3046*	DUF3046	-	-	87	AJAP_27205	bacteria>actinobacteria	Amycolatopsis japonica	GCA_000732925.1	NA	DUF3046	000001.410	pspn	208439	Amycolatopsis japonica	GCA_000732925.1
AGM04916.1	DUF3046*->	DUF3046	SIG	SIG	64	AORI_2328	bacteria>actinobacteria	Amycolatopsis keratiniphila	GCA_000400635.2	NA	DUF3046	000001.410	pspn	129921	Amycolatopsis keratiniphila	GCA_000400635.2
AJK55029.1	<-DUF3046*	DUF3046	SIG	SIG	64	BB31_17350	bacteria>actinobacteria	Amycolatopsis lurida NRRL 2430	GCA_000749465.2	NA	DUF3046	000001.410	pspn	1460371	Amycolatopsis lurida NRRL 2430	GCA_000749465.2
AGT82981.1	DUF3046*->	DUF3046	-	-	64	B737_2317	bacteria>actinobacteria	Amycolatopsis mediterranei RB	GCA_000454025.1	NA	DUF3046	000001.410	pspn	1221524	Amycolatopsis mediterranei RB	GCA_000454025.1
AEK40873.1	DUF3046*->	DUF3046	-	-	64	RAM_11915	bacteria>actinobacteria	Amycolatopsis mediterranei S699	GCA_000220945.1	NA	DUF3046	000001.410	pspn	713604	Amycolatopsis mediterranei S699	GCA_000220945.1
