AccNum	GenContext.orig	arch.PFAM	DomArch.orig	arch.TMSIG	Length	GenName	Lineage	Species.orig	Annotation	GI	ClustName.orig	ClustID	Query	TaxID	Species.q	GCA_ID
ABP90099.1	-	DUF1700	DUF1700-alpha-helical+TM+TM+TM	TM+TM+TM	192	SSU05_1133	bacteria>firmicutes	Streptococcus suis 05ZYH33	Predicted membrane protein [Streptococcus suis 05ZYH33]	145689593	DUF1700-alpha-helical+TM+TM+TM	000002.154	DUF1700-alpha-helical	391295	Streptococcus suis 05ZYH33	GCA_000014305.1
AML46583.1	-	DUF1700+TM+TM	DUF1700-alpha-helical+TM+TM+TM	TM+TM+TM	192	APQ97_05770	bacteria>firmicutes	Streptococcus suis	hypothetical protein APQ97_05770 [Streptococcus suis]	1000815661	DUF1700-alpha-helical+TM+TM+TM	000002.154	DUF1700-alpha-helical	1307	Streptococcus suis	GCA_001572685.1
AAS12375.1	-	DUF1700	DUF1700-alpha-helical+TM+TM+TM	TM+TM+TM	176	TDE_1860	bacteria>spirochaetes	Treponema denticola ATCC 35405	conserved hypothetical protein [Treponema denticola ATCC 35405]	41817951	DUF1700-alpha-helical+TM+TM+TM	000002.154	DUF1700-alpha-helical	243275	Treponema denticola ATCC 35405	GCA_000008185.1
AGT42636.1	-	DUF1700	DUF1700-alpha-helical+TM+TM+TM	TM+TM+TM	176	TPE_0140	bacteria>spirochaetes	Treponema pedis str. T A4	membrane protein [Treponema pedis str. T A4]	530723683	DUF1700-alpha-helical+TM+TM+TM	000002.154	DUF1700-alpha-helical	1291379	Treponema pedis str. T A4	GCA_000447675.1
AGG02811.1	-	TM+TM+TM+TM+TM+TM	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	261	H175_ch4099	bacteria>firmicutes	Bacillus thuringiensis serovar thuringiensis str. IS5056	hypothetical protein H175_ch4099 [Bacillus thuringiensis serovar thuringiensis str. IS5056]	452105871	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	000003.49	DUF1700-alpha-helical	1286404	Bacillus thuringiensis serovar thuringiensis str. IS5056	GCA_000341665.1
AOY17330.1	-	TM+TM+TM+TM+TM+TM	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	258	BGI23_19350	bacteria>firmicutes	Bacillus sp. ABP14	NADH dehydrogenase [Bacillus sp. ABP14]	1089709578	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	000003.49	DUF1700-alpha-helical	1892404	Bacillus sp. ABP14	GCA_001831375.1
AAT61562.1	-	TM+TM+TM+TM+TM	DUF1700-alpha-helical+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM	255	BT9727_3771	bacteria>firmicutes	[Bacillus thuringiensis] serovar konkukian str. 97-27	conserved hypothetical protein [[Bacillus thuringiensis] serovar konkukian str. 97-27]	49330916	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	000003.49	DUF1700-alpha-helical	281309	[Bacillus thuringiensis] serovar konkukian str. 97-27	GCA_000008505.1
ABS22960.1	-	TM+TM+TM+TM+TM+TM	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	255	Bcer98_2727	bacteria>firmicutes	Bacillus cytotoxicus NVH 391-98	NADH dehydrogenase subunit N [Bacillus cytotoxicus NVH 391-98]	152025190	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	000003.49	DUF1700-alpha-helical	315749	Bacillus cytotoxicus NVH 391-98	GCA_000017425.1
ABY45025.1	-	TM+TM+TM+TM+TM+TM	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	255	BcerKBAB4_3857	bacteria>firmicutes	Bacillus weihenstephanensis KBAB4	NADH dehydrogenase subunit N [Bacillus weihenstephanensis KBAB4]	163863966	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	000003.49	DUF1700-alpha-helical	315730	Bacillus mycoides KBAB4	GCA_000018825.1
ACK95587.1	-	TM+TM+TM+TM+TM+TM	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	255	BCG9842_B1103	bacteria>firmicutes	Bacillus cereus G9842	conserved domain protein [Bacillus cereus G9842]	218543193	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	000003.49	DUF1700-alpha-helical	405531	Bacillus cereus G9842	GCA_000021305.1
