AccNum	GenContext	PFAM	DomArch	arch.TMSIG	Length	GenName	Lineage	Species.old	Annotation	GI	Query	ClustID	ClustName	TaxID	Species	GCA_ID
AJH56079.1	PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->	TM+TM+TM+TM+TM	DUF1700-alpha-helical+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM	254	BF89_3965	bacteria>firmicutes	Bacillus anthracis	putative membrane protein [Bacillus anthracis]	753492157	DUF1700-alpha-helical	000003.49	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	NA	NA	GCA_000832725.1
AGL14606.1	PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->?->?->MoxR-AAA->	TM+TM+TM	DUF1700-alpha-helical+TM+TM+TM	TM+TM+TM	343	L083_1096	bacteria>actinobacteria	Actinoplanes sp. N902-109	hypothetical protein L083_1096 [Actinoplanes sp. N902-109]	492003286	DUF1700-alpha-helical	000023.7	DUF1700-alpha-helical+TM+TM+TM	NA	NA	GCA_000389965.1
AKK03387.1	DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	198	CEPID_07685	bacteria>actinobacteria	Corynebacterium epidermidicanis	putative DUF1707 family protein/predicted membrane protein (DUF2154) [Corynebacterium epidermidicanis]	827628094	DUF1707-SHOCT	000001.164	DUF1707-SHOCT-bihelical+Toast-rack	NA	NA	GCA_001021025.1
AKK03387.1	DUF1707-SHOCT-bihelical+Toast-rack*->	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	198	CEPID_07685	bacteria>actinobacteria	Corynebacterium epidermidicanis	putative DUF1707 family protein/predicted membrane protein (DUF2154) [Corynebacterium epidermidicanis]	827628094	DUF1707-SHOCT	000001.164	DUF1707-SHOCT-bihelical+Toast-rack	NA	NA	GCA_001021025.1
AAW35295.1	<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	724	flhA	bacteria>proteobacteria>epsilonproteobacteria	Campylobacter jejuni RM1221	flagellar biosynthesis protein FlhA [Campylobacter jejuni RM1221]	57166516	LiaI-LiaF-TM	000001.2709	SIG+TM+TM+TM+TM+TM	NA	NA	GCA_000011865.1
AJK82865.1	<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	724	flhA	bacteria>proteobacteria>epsilonproteobacteria	Campylobacter jejuni subsp. jejuni	flagellar biosynthesis protein FlhA [Campylobacter jejuni subsp. jejuni]	756090652	LiaI-LiaF-TM	000001.2709	SIG+TM+TM+TM+TM+TM	NA	NA	GCA_000835345.1
AHC83764.1	<-REC<-HPT+HISKIN+CheW<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	709	flhA	bacteria>proteobacteria>gammaproteobacteria	Pseudomonas monteilii SB3078	flagellar biosynthesis protein FlhA [Pseudomonas monteilii SB3078]	567351567	LiaI-LiaF-TM	000001.2709	SIG+TM+TM+TM+TM+TM	NA	NA	GCA_000510285.1
AJI92027.1	<-SIG+TM<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	692	flhA	bacteria>proteobacteria>gammaproteobacteria	Yersinia pestis	flagellar biosynthesis protein FlhA [Yersinia pestis]	755294843	LiaI-LiaF-TM	000001.2709	SIG+TM+TM+TM+TM+TM	NA	NA	GCA_000834235.1
AJK88848.1	-	SIG+TM+DUF2154	SIG+TM+Toast-rack	SIG+TM	227	HR49_17775	bacteria>firmicutes	Lysinibacillus fusiformis	membrane protein [Lysinibacillus fusiformis]	756121158	LiaI-LiaF-TM	000002.120	LiaI-LiaF-TM+Toast-rack	NA	NA	GCA_000724775.3
AJK88848.1	-	SIG+TM+DUF2154	SIG+TM+Toast-rack	SIG+TM	227	HR49_17775	bacteria>firmicutes	Lysinibacillus fusiformis	membrane protein [Lysinibacillus fusiformis]	756121158	LiaI-LiaF-TM	000002.120	LiaI-LiaF-TM+Toast-rack	NA	NA	GCA_000724775.3
