AccNum	GenContext.orig	arch.PFAM	DomArch.orig	arch.TMSIG	Length	GenName	Lineage	Species.orig	Annotation	GI	ClustName.orig	ClustID	Query	TaxID	Species.q	GCA_ID
AJT61701.1	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	-	164	T261_0008	bacteria>actinobacteria	Streptomyces lydicus A02	hypothetical protein T261_0008 [Streptomyces lydicus A02]	768311920	DUF1707-SHOCT-bihelical+Toast-rack	000001.164	DUF1707-SHOCT	1403539	Streptomyces lydicus A02	-
AJT63678.1	<-DUF1707-SHOCT-bihelical+FHA*	DUF1707+FHA	DUF1707-SHOCT-bihelical+FHA	-	198	T261_1993	bacteria>actinobacteria	Streptomyces lydicus A02	FHA domain containing protein [Streptomyces lydicus A02]	768313897	DUF1707-SHOCT-bihelical+FHA	000008.11	DUF1707-SHOCT	1403539	Streptomyces lydicus A02	-
AJT66297.1	DUF1707-SHOCT-bihelical+TM+TM*->	DUF1707+DUF4190	DUF1707-SHOCT-bihelical+TM+TM	TM+TM	164	T261_4658	bacteria>actinobacteria	Streptomyces lydicus A02	hypothetical protein T261_4658 [Streptomyces lydicus A02]	768316516	DUF1707-SHOCT-bihelical+TM+TM	000016.4	DUF1707-SHOCT	1403539	Streptomyces lydicus A02	-
AHM72785.1	-	FHIPEP	SIG+TM+TM+TM+TM	SIG+TM+TM+TM+TM	648	invA	bacteria>proteobacteria>gammaproteobacteria	Yersinia enterocolitica LC20	Invasion protein InvA [Yersinia enterocolitica LC20]	595640530	SIG+TM+TM+TM+TM+TM	000001.2709	LiaI-LiaF-TM	1443113	Yersinia enterocolitica LC20	-
AHM76147.1	-	FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	377	ssaV	bacteria>proteobacteria>gammaproteobacteria	Yersinia enterocolitica LC20	Secretion system apparatus protein SsaV [Yersinia enterocolitica LC20]	595643892	SIG+TM+TM+TM+TM+TM	000014.12	LiaI-LiaF-TM	1443113	Yersinia enterocolitica LC20	-
XP_001756475.1	<-PspA*	SIG+PspA_IM30	SIG+PspA	SIG	297	PHYPADRAFT_117800	eukaryota>viridiplantae	Physcomitrella patens	predicted protein [Physcomitrella patens]	168007558	PspA	000001.1454	pspa	3218	Physcomitrella patens	-
XP_001765371.1	<-PspA*	PspA_IM30	PspA	-	275	PHYPADRAFT_129336	eukaryota>viridiplantae	Physcomitrella patens	predicted protein, partial [Physcomitrella patens]	168025699	PspA	000001.1454	pspa	3218	Physcomitrella patens	-
XP_002970544.1	<-PspA*	PspA_IM30	PspA	-	261	SELMODRAFT_93752	eukaryota>viridiplantae	Selaginella moellendorffii	hypothetical protein SELMODRAFT_93752 [Selaginella moellendorffii]	302774254	PspA	000001.1454	pspa	88036	Selaginella moellendorffii	-
XP_002978623.1	<-PspA*	PspA_IM30	PspA	-	261	SELMODRAFT_109054	eukaryota>viridiplantae	Selaginella moellendorffii	hypothetical protein SELMODRAFT_109054 [Selaginella moellendorffii]	302793716	PspA	000001.1454	pspa	88036	Selaginella moellendorffii	-
OBQ07941.1	PspA*->PspA*->	PspA_IM30	PspA	-	258	AN489_12115	bacteria>cyanobacteria	Anabaena sp. 39858	hypothetical protein AN489_12115 [Anabaena sp. 39858]	1039162579	PspA	000001.1454	pspa	1710890	Anabaena sp. 39858	-
XP_001782149.1	<-PspA*	PspA_IM30	PspA	SIG	245	PHYPADRAFT_150827	eukaryota>viridiplantae	Physcomitrella patens	predicted protein [Physcomitrella patens]	168060329	PspA	000001.1454	pspa	3218	Physcomitrella patens	-
OBQ07975.1	-	PspA_IM30	PspA	-	235	AN489_12110	bacteria>cyanobacteria	Anabaena sp. 39858	phage-shock protein [Anabaena sp. 39858]	1039162613	PspA	000001.1454	pspa	1710890	Anabaena sp. 39858	-
NP_651455.1	Snf7*->	Snf7	Snf7	-	256	CG14542,Did4,Dmel\CG14542,DmVPS2,dvps2,Dvps2,NEST:bs02f06,vps2	eukaryota>metazoa>hexapoda	Drosophila melanogaster	vacuolar protein sorting 2 [Drosophila melanogaster]	24650245	Snf7	000002.516	pspa	7227	fruit fly	-
XP_725374.1	Snf7*->	Snf7	Snf7	-	253	PY00570	eukaryota>alveolata>apicomplexa	Plasmodium yoelii yoelii 17XNL	hypothetical protein [Plasmodium yoelii yoelii 17XNL]	82594318	Snf7	000002.516	pspa	352914	Plasmodium yoelii yoelii 17XNL	-
