AccNum	ClustID	ClustName.orig	GenContext.orig	DomArch.Pfam	DomArch.orig	Length	GeneName	Lineage	Species.orig	GCA_ID	ClustName	Species	GenContext	DomArch
AKH41084.1	000002.169	SIG+PspB	-	SIG+FBPase_2	SIG	90	WYH_00017	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter atlanticus	GCA_001008165.2	SIG+PspB	Altererythrobacter atlanticus	-	SIG
AKH41086.1	000002.169	SIG+PspB	-	SIG	PspB	100	WYH_00019	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter atlanticus	GCA_001008165.2	SIG+PspB	Altererythrobacter atlanticus	-	PspB
ANY19544.1	000002.169	SIG+PspB	-	SIG	SIG	91	A6F68_01022	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter dongtanensis	GCA_001698205.1	SIG+PspB	Altererythrobacter dongtanensis	-	SIG
ANY19546.1	000002.169	SIG+PspB	-	SIG	SIG	104	A6F68_01024	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter dongtanensis	GCA_001698205.1	SIG+PspB	Altererythrobacter dongtanensis	-	SIG
ALE16984.1	000002.169	SIG+PspB	-	SIG	SIG	104	AMC99_01693	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter epoxidivorans	GCA_001281485.1	SIG+PspB	Altererythrobacter epoxidivorans	-	SIG
ALE16985.1	000002.169	SIG+PspB	-	SIG	SIG	100	AMC99_01694	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter epoxidivorans	GCA_001281485.1	SIG+PspB	Altererythrobacter epoxidivorans	-	SIG
AKM07644.1	000002.169	SIG+PspB	-	SIG	SIG	104	AM2010_1575	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter marensis	GCA_001028625.1	SIG+PspB	Altererythrobacter marensis	-	SIG
ANU08488.1	000002.169	SIG+PspB	-	SIG	SIG	107	A6F65_02203	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter namhicola	GCA_001687545.1	SIG+PspB	Altererythrobacter namhicola	-	SIG
ANU08489.1	000002.169	SIG+PspB	-	SIG	SIG	94	A6F65_02204	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter namhicola	GCA_001687545.1	SIG+PspB	Altererythrobacter namhicola	-	SIG
AOF99819.1	000002.169	SIG+PspB	-	SIG	SIG	89	BSY18_428	bacteria>proteobacteria>alphaproteobacteria	Blastomonas sp. RAC04	GCA_001713435.1	SIG+PspB	Blastomonas sp RAC04	-	SIG
AOG00393.1	000002.169	SIG+PspB	-	SIG	SIG	84	BSY18_429	bacteria>proteobacteria>alphaproteobacteria	Blastomonas sp. RAC04	GCA_001713435.1	SIG+PspB	Blastomonas sp RAC04	-	SIG
ALG61356.1	000002.169	SIG+PspB	-	SIG	SIG	103	WG74_11330	bacteria>proteobacteria>alphaproteobacteria	Citromicrobium sp. JL477	GCA_001304795.1	SIG+PspB	Citromicrobium sp JL477	-	SIG
