AccNum	ClustID	ClustName.orig	GenContext.orig	DomArch.Pfam	DomArch.orig	Length	GeneName	Lineage	Species.orig	GCA_ID
AJT61701.1	000001.164	DUF1707-SHOCT-bihelical+Toast-rack	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	164	T261_0008	bacteria>actinobacteria	Streptomyces lydicus A02	-
AJT63678.1	000008.11	DUF1707-SHOCT-bihelical+FHA	<-DUF1707-SHOCT-bihelical+FHA*	DUF1707+FHA	DUF1707-SHOCT-bihelical+FHA	198	T261_1993	bacteria>actinobacteria	Streptomyces lydicus A02	-
AJT66297.1	000016.4	DUF1707-SHOCT-bihelical+TM+TM	DUF1707-SHOCT-bihelical+TM+TM*->	DUF1707+DUF4190	DUF1707-SHOCT-bihelical+TM+TM	164	T261_4658	bacteria>actinobacteria	Streptomyces lydicus A02	-
AHM72785.1	000001.2709	FHIPEP-SIG+TM+TM+TM+TM+TM	FHIPEP-SIG+TM+TM+TM+TM+TM*->Invas_SpaK->ATP-synt_ab->SPAM->?->?->FliMN_C->SIG+TM+TM+TM->	FHIPEP	SIG+TM+TM+TM+TM	648	invA	bacteria>proteobacteria>gammaproteobacteria	Yersinia enterocolitica LC20	-
AHM76147.1	000014.12	FHIPEP-SIG+TM+TM+TM+TM+TM	<-SIG+TM<-SIG+TM+TM+TM<-?<-?<-Cluster31_2clades<-ATP-synt_ab<-FHIPEP<-FHIPEP-SIG+TM+TM+TM+TM+TM*<-Cluster57_2clades<-?<-?<-?<-SIG+TM	FHIPEP	SIG+TM+TM+TM+TM+TM+TM	377	ssaV	bacteria>proteobacteria>gammaproteobacteria	Yersinia enterocolitica LC20	-
XP_011670778.1	000000.1	LiaI-LiaF-TM+TM+TM	LiaI-LiaF-TM+TM+TM*->	SIG+TM+CD20	LiaI-LiaF-TM+TM+TM	338	LOC105441403	eukaryota>metazoa>echinodermata	Strongylocentrotus purpuratus	-
AJT61701.1	000001.461	DUF1707-SHOCT-bihelical+Toast-rack	<-DUF1707-SHOCT-bihelical+Toast-rack*	DUF1707+DUF2154	DUF1707-SHOCT-bihelical+Toast-rack	164	T261_0008	bacteria>actinobacteria	Streptomyces lydicus A02	-
ANU62506.1	000002.344	SIG+Toast-rack	<-SIG+Toast-rack*	SIG+DUF2807	Toast-rack	254	A4V02_01280	bacteria>bacteroidetes	Parabacteroides sp. YL27	-
AJT65936.1	000022.43	SIG+Toast-rack	<-SIG+Toast-rack*	SIG+DUF4097	SIG+Toast-rack	274	T261_4282	bacteria>actinobacteria	Streptomyces lydicus A02	-
XP_006715959.1	000036.22	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	385	FAM185A	eukaryota>metazoa>chordata>vertebrata	Homo sapiens	-
NP_001138740.1	000036.22	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	392	FAM185A	eukaryota>metazoa>chordata>vertebrata	Homo sapiens	-
XP_016867338.1	000036.22	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	398	FAM185A	eukaryota>metazoa>chordata>vertebrata	Homo sapiens	-
XP_011514228.1	000036.22	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	399	FAM185A	eukaryota>metazoa>chordata>vertebrata	Homo sapiens	-
XP_011514227.1	000036.22	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	401	FAM185A	eukaryota>metazoa>chordata>vertebrata	Homo sapiens	-
XP_016867337.1	000036.22	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	401	FAM185A	eukaryota>metazoa>chordata>vertebrata	Homo sapiens	-
XP_011514226.1	000036.22	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	401	FAM185A	eukaryota>metazoa>chordata>vertebrata	Homo sapiens	-
XP_016867336.1	000036.22	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	406	FAM185A	eukaryota>metazoa>chordata>vertebrata	Homo sapiens	-
XP_011514225.1	000036.22	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	412	FAM185A	eukaryota>metazoa>chordata>vertebrata	Homo sapiens	-
XP_011514224.1	000036.22	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	415	FAM185A	eukaryota>metazoa>chordata>vertebrata	Homo sapiens	-
XP_016867335.1	000036.22	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	420	FAM185A	eukaryota>metazoa>chordata>vertebrata	Homo sapiens	-
XP_003967372.2	000036.22	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	383	fam185a	eukaryota>metazoa>chordata>vertebrata>actinopterygii	Takifugu rubripes	-
XP_017207620.1	000100.8	PDZ+Toast-rack	PDZ+Toast-rack*->	-	PDZ+Toast-rack	3994	si:ch211-14c7.2	eukaryota>metazoa>chordata>vertebrata>actinopterygii	Danio rerio	-
XP_017207617.1	000100.8	PDZ+Toast-rack	PDZ+Toast-rack*->	-	PDZ+Toast-rack	4180	si:ch211-14c7.2	eukaryota>metazoa>chordata>vertebrata>actinopterygii	Danio rerio	-
XP_017207616.1	000100.8	PDZ+Toast-rack	PDZ+Toast-rack*->	-	PDZ+Toast-rack	4180	si:ch211-14c7.2	eukaryota>metazoa>chordata>vertebrata>actinopterygii	Danio rerio	-
XP_017207615.1	000100.8	PDZ+Toast-rack	PDZ+Toast-rack*->	-	PDZ+Toast-rack	4180	si:ch211-14c7.2	eukaryota>metazoa>chordata>vertebrata>actinopterygii	Danio rerio	-
XP_700689.5	000100.8	PDZ+Toast-rack	PDZ+Toast-rack*->	-	PDZ+Toast-rack	4197	si:ch211-14c7.2	eukaryota>metazoa>chordata>vertebrata>actinopterygii	Danio rerio	-
XP_017207614.1	000100.8	PDZ+Toast-rack	PDZ+Toast-rack*->	-	PDZ+Toast-rack	4299	si:ch211-14c7.2	eukaryota>metazoa>chordata>vertebrata>actinopterygii	Danio rerio	-
Pram1000005231	000129.6	SIG+Toast-rack+TM	-	SIG+DUF2807+TM	SIG+Toast-rack+TM	435	Pram1000005231	eukaryota>stramenopiles	Phytophthora ramorum	-
Pram1000004800	000195.4	SIG+Toast-rack+TM+TM+7TMEUK	-	SIG+TM+TM+TM+TM+TM+TM	SIG+Beta-Roll+Beta-Roll+7TMEUK	2153	Pram1000004800	eukaryota>stramenopiles	Phytophthora ramorum	-
XP_011615669.1	000242.3	SIG+LAMG+Toast-rack+NEC	SIG+LAMG+Toast-rack+NEC*->	SIG+Laminin_G_2+Lipoprotein_1+Collagen+Collagen+Collagen+Collagen+Collagen+Collagen+Collagen+Collagen+COLFI	SIG+LAMG+Toast-rack+NEC	2042	col11a2	eukaryota>metazoa>chordata>vertebrata>actinopterygii	Takifugu rubripes	-
XP_011615668.1	000242.3	SIG+LAMG+Toast-rack+NEC	SIG+LAMG+Toast-rack+NEC*->	SIG+Laminin_G_2+Lipoprotein_1+Collagen+Collagen+Collagen+Collagen+Collagen+Collagen+Collagen+Collagen+COLFI	SIG+LAMG+Toast-rack+NEC	2114	col11a2	eukaryota>metazoa>chordata>vertebrata>actinopterygii	Takifugu rubripes	-
XP_011615667.1	000242.3	SIG+LAMG+Toast-rack+NEC	SIG+LAMG+Toast-rack+NEC*->	SIG+Laminin_G_2+Lipoprotein_1+Collagen+Collagen+Collagen+Collagen+Collagen+Collagen+Collagen+Collagen+COLFI	SIG+LAMG+Toast-rack+NEC	2154	col11a2	eukaryota>metazoa>chordata>vertebrata>actinopterygii	Takifugu rubripes	-
Pram1000005232	000255.3	Toast-rack+TM	-	DUF2807+TM	Toast-rack+TM	430	Pram1000005232	eukaryota>stramenopiles	Phytophthora ramorum	-
